1101302570047; PERICARD PLUS; PERICARD PLUS; NOT FOUND; 4MG + 1.25 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); GMK
1101302570012; PERICARD PLUS; PERICARD PLUS; NOT FOUND; 4MG + 1.25 MG COM CT BL AL PLAS INC X 10 (EMB FRAC); GMK
1101302570020; PERICARD PLUS; PERICARD PLUS; NOT FOUND; 4MG + 1.25 MG COM CT BL AL PLAS INC X 14 (EMB FRAC); GMK
1101302570039; PERICARD PLUS; PERICARD PLUS; NOT FOUND; 4MG + 1.25 MG COM CT BL AL PLAS INC X 30 (EMB FRAC); GMK
1101302340017; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT FA VD AMB X 5 ML; GMK
1101302340025; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT FA VD AMB X 50 ML; GMK
1101302340042; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT FA VD AMB X 16.7 ML; GMK
1101302340034; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT FA VD AMB X 25 ML; GMK
1101302690018; PEMEGLENN; PEMEGLENN; NOT FOUND; 100 MG PO LIOF INJ IV CT 01 FA VD INC X 15 ML ; GMK
1101302690026; PEMEGLENN; PEMEGLENN; NOT FOUND; 500 MG PO LIOF INJ IV CT 01 FA VD INC X 30 ML ; GMK
1101302700013; PEMETREXEDE; PEMETREXEDE; PEMETREXEDE; 100 MG PO LIOF INJ IV CT 1 FA VD INC X 15 ML ; GMK
1101302700021; PEMETREXEDE; PEMETREXEDE; PEMETREXEDE; 500 MG PO LIOF INJ IV CT 1 FA VD INC X 30 ML ; GMK
1101302580018; PERICARD; PERICARD; NOT FOUND; 4 MG COM CT STR AL/AL X 10; GMK
1101302580026; PERICARD; PERICARD; NOT FOUND; 4 MG COM CT STR AL/AL X 14; GMK
1101302580042; PERICARD; PERICARD; NOT FOUND; 4 MG COM CT STR AL/AL X 60; GMK
