1101302640037; DERIVA MICRO; DERIVA MICRO; NOT FOUND; 1 MG/G GEL DERM LIB PROL CT BG AL REV X 30 G; GMK
1101302660021; DERIVA C MICRO; DERIVA C MICRO; NOT FOUND; 1 MG/G + 10 MG/G GEL DERM LIB PROL CT BG PLAS LAM X 30 G; GMK
1101302660038; DERIVA C MICRO; DERIVA C MICRO; NOT FOUND; 1 MG/G + 10 MG/G GEL DERM LIB PROL CT BG PLAS LAM X 45 G; GMK
1101300560011; DERMALIV; DERMALIV; NOT FOUND; LOCAO 100 ML; GMK
1101300550057; DORNAL; DORNAL; NOT FOUND; GOTAS FR 20 ML; GMK
1101300550049; DORNAL; DORNAL; NOT FOUND; SOL ORAL 100 ML; GMK
1101300550030; DORNAL; DORNAL; NOT FOUND; 200 COMP 500MG; GMK
1101302330011; DOCETAXEL; DOCETAXEL; DOCETAXEL; 40MG/ML SOL INJ IV CT FA VD AMB X 0.5 ML + DIL FA VD INC X 1.5 ML; GMK
1101302330021; DOCETAXEL; DOCETAXEL; DOCETAXEL; 40MG/ML SOL INJ IV CT FA VD AMB X 2.0 ML + DIL FA VD INC X 6.0 ML; GMK
1101302260021; DERMOTIL; DERMOTIL; NOT FOUND; 1 MG/ G POM DERM CT BG AL X 10 G; GMK
1101302260013; DERMOTIL; DERMOTIL; NOT FOUND; 1 MG/ G POM DERM CT BG AL X 20 G; GMK
1101302260056; DERMOTIL; DERMOTIL; NOT FOUND; 1.0 MG/G CREM DERM CT BG AL X 10 G ; GMK
1101302260064; DERMOTIL; DERMOTIL; NOT FOUND; 1.0 MG/G CREM DERM CT BG AL X 20 G ; GMK
1101302730011; DERMOTIL FUSID; DERMOTIL FUSID; NOT FOUND; 1 MG/G + 20 MG/G CREM DERM CT BG AL X 10 G; GMK
