532701101113418, TORLÓS H, TORLOS H, NOT FOUND, 50 MG + 12.5 MG COM REV CT 2 BL AL/AL X 7, TNT
532701102111419, TORLÓS H, TORLOS H, NOT FOUND, 50 MG + 12.5 MG COM REV CT 4 BL AL/AL X 7, TNT
532714010016703, TORLOS H, TORLOS H, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL/AL X 30, TNT
532714010016803, TORLOS H, TORLOS H, NOT FOUND, 100MG + 25MG COM REV CT BL AL/AL X 30, TNT
532701004118419, TORLÓS, TORLOS, NOT FOUND, 100 MG COM REV CT BL AL/AL X 10 , TNT
532701005114417, TORLÓS, TORLOS, NOT FOUND, 100 MG COM REV CT BL AL/AL X 30, TNT
532701001119414, TORLÓS, TORLOS, NOT FOUND, 25 MG COM REV CT  BL AL/AL X 28, TNT
532701002115412, TORLÓS, TORLOS, NOT FOUND, 50 MG COM REV CT BL AL/AL X 14, TNT
532701003111410, TORLÓS, TORLOS, NOT FOUND, 50 MG COM REV CT BL AL/AL X 28, TNT
532714010016903, TORLÓS, TORLOS, NOT FOUND, 50 MG COM REV CT BL AL/AL X 30, TNT
532701201118411, TORVAL CR, TORVAL CR, NOT FOUND, 300 MG COM LIB PROL CT BL AL/AL X 30, TNT
532701202114411, TORVAL CR, TORVAL CR, NOT FOUND, 500 MG COM LIB PROL CT BL AL/AL X 30, TNT
