532713010015806, CARVEDILOL, CARVEDILOL, CARVEDILOL, 12.5MG COM CT BL AL/AL X 15 , TNT
532713010015506, CARVEDILOL, CARVEDILOL, CARVEDILOL, 12.5MG COM CT BL AL/AL X 30, TNT
532713010015906, CARVEDILOL, CARVEDILOL, CARVEDILOL, 25MG COM CT BL AL/AL X 15 , TNT
532713010015606, CARVEDILOL, CARVEDILOL, CARVEDILOL, 25MG COM CT BL AL/AL X 30, TNT
532713010015706, CARVEDILOL, CARVEDILOL, CARVEDILOL, 6.25MG COM CT BL AL/AL X 15 , TNT
532713010015406, CARVEDILOL, CARVEDILOL, CARVEDILOL, 6.25MG COM CT BL AL/AL X 30, TNT
532700301119411, CLONOTRIL, CLONOTRIL, NOT FOUND, 0.5 MG COM CT BL AL/PVC X 20, TNT
532700302115411, CLONOTRIL, CLONOTRIL, NOT FOUND, 2 MG COM CT BL AL/PVC X 20, TNT
532712120013006, CLORIDRATODE DONEPEZILA, CLORIDRATODE DONEPEZILA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, TNT
532712120013206, CLORIDRATODE DONEPEZILA, CLORIDRATODE DONEPEZILA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60, TNT
532712120012906, CLORIDRATODE DONEPEZILA, CLORIDRATODE DONEPEZILA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, TNT
532712120013106, CLORIDRATODE DONEPEZILA, CLORIDRATODE DONEPEZILA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 60, TNT
532712120012606, CLORIDRATO DE METFORMINA +GLIBENCAMIDA, CLORIDRATO METFORMINA GLIBENCAMIDA, NOT FOUND, 500MG + 5 MG COM REV CT BL AL/AL X 30 , TNT
532712120012506, CLORIDRATO DE METFORMINA +GLIBENCAMIDA, CLORIDRATO METFORMINA GLIBENCAMIDA, NOT FOUND, 500 MG +2.5 MG COM REV CT BL AL/AL X 30 , TNT
532713010016006, CLORIDRATO DE NEBIVOLOL, CLORIDRATO NEBIVOLOL, CLORIDRATO NEBIVOLOL, 5 MG COM CT BL AL/AL X 30, TNT
532712120011806, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 15 MG COM CT BL AL/AL X 15, TNT
532712120011506, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 15 MG COM CT BL AL/AL X 30, TNT
532712120012106, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 15 MG COM CT BL AL/AL X 60, TNT
532712120011906, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 30 MG COM CT BL AL/AL X 15, TNT
532712120011606, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 30 MG COM CT BL AL/AL X 30, TNT
532712120012206, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 30 MG COM CT BL AL/AL X 60, TNT
532712120012006, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 45 MG COM CT BL AL/AL X 15
, TNT
532712120011706, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 45 MG COM CT BL AL/AL X 30
, TNT
532712120012306, CLORIDRATO DE PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, CLORIDRATO PIOGLITAZONA, 45 MG COM CT BL AL/AL X 60
, TNT
