506313901131417, CLAVUTREX, CLAVUTREX, NOT FOUND, 250 MG + 62.50 MG / 5 ML PO SUSP OR FR VD AMB X 75 ML, CF2
506313903116415, CLAVUTREX, CLAVUTREX, NOT FOUND, 500 MG + 125 MG COM REV BL AL PLAS INC X 12, CF2
506313902111411, CLAVUTREX, CLAVUTREX, NOT FOUND, 500 MG + 125 MG COM REV BL AL PLAS INC X 18, CF2
506314201131110, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , CF2
506314202138119, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , CF2
506301803162411, CETONIN, CETONIN, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, CF2
506312020026503, COBAVIT, COBAVIT, NOT FOUND, 0.8 MG/ML XPE CT FR VD AMB X 100 ML + 4 MG/G SACH AL X 5 G + CP MED, CF2
506302001167411, CINATREX, CINATREX, NOT FOUND, 5MG/G POM OFT CT BG AL X 3.5G, CF2
506302201166417, CLOMAZOL, CLOMAZOL, NOT FOUND, 10MG/G CREM DER CT BG AL X 50 G , CF2
506313507164417, CATAFLEXYM, CATAFLEXYM, NOT FOUND, 10 MG GEL CT BG AL X 40 G, CF2
506301503169410, CATAFLEXYM, CATAFLEXYM, NOT FOUND, 10 MG GEL CT BG AL X 60 G, CF2
506302601131424, CYFENOL, CYFENOL, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, CF2
506302602111427, CYFENOL, CYFENOL, NOT FOUND, 750 MG COM CT 5 BL AL PLAS AMB X 4, CF2
506302603116422, CYFENOL, CYFENOL, NOT FOUND, 750 MG COM CT 50 BL AL PLAS AMB X 4 (EMB. HOSP.), CF2
