506306502111411, PANTEC, PANTEC, NOT FOUND, 150 MG CAP DURA CT BL AL PLAS INC X 2, CF2
506306501113419, PANTEC, PANTEC, NOT FOUND, 150MG CX 1 CAPS, CF2
506306601177419, PEDIDERM, PEDIDERM, NOT FOUND, 0.2MG/ML LOC CX COM 1 FR COM 100ML, CF2
506306602173417, PEDIDERM, PEDIDERM, NOT FOUND, 0.2MG/ML SHAMP CX COM 1 FR COM 100ML, CF2
506306802113418, PIROXIN, PIROXIN, NOT FOUND, 20MG CX COM 15 CPR, CF2
506314901133418, POLARATUSS, POLARATUSS, NOT FOUND, (2+20+100) MG/5ML SOL OR CT FR VD AMB X 120 ML + CP MEDIDA , CF2
506306901111413, POLAREN, POLAREN, NOT FOUND, 2MG CX COM 20 COMP, CF2
506306902134417, POLAREN, POLAREN, NOT FOUND, SOL ORAL CX COM 1 FR DE 100ML, CF2
506307002110412, POSLOV, POSLOV, NOT FOUND, 0.75 MG COM CT BL AL PVC INC X 2, CF2
506307001114414, POSLOV, POSLOV, NOT FOUND, 0.75MG 2 CPR, CF2
506302701169415, PRONENEN, PRONENEN, NOT FOUND, 5000UI+900UI+150MG/G POM CX C/ 01 BISN C/45G, CF2
506312501111410, PYRISEPT, PYRISEPT, NOT FOUND, 100 MG DRG CT 5 BL AL PLAS INC X 5, CF2
506312502118419, PYRISEPT, PYRISEPT, NOT FOUND, 200 MG DRG CT 2 BL AL PLAS INC X 9, CF2
506307401112419, PYVERM, PYVERM, NOT FOUND, 100MG CX 6 DRAGEAS, CF2
506307402135412, PYVERM, PYVERM, NOT FOUND, 10MG/ML SUSP ORAL CX COM 1 FR 40ML, CF2
506306502111411, PANTEC, PANTEC, NOT FOUND, 150 MG CAP DURA CT BL AL PLAS INC X 2, CF2
506306501113419, PANTEC, PANTEC, NOT FOUND, 150MG CX 1 CAPS, CF2
506306601177419, PEDIDERM, PEDIDERM, NOT FOUND, 0.2MG/ML LOC CX COM 1 FR COM 100ML, CF2
506306602173417, PEDIDERM, PEDIDERM, NOT FOUND, 0.2MG/ML SHAMP CX COM 1 FR COM 100ML, CF2
506306802113418, PIROXIN, PIROXIN, NOT FOUND, 20MG CX COM 15 CPR, CF2
506314901133418, POLARATUSS, POLARATUSS, NOT FOUND, (2+20+100) MG/5ML SOL OR CT FR VD AMB X 120 ML + CP MEDIDA , CF2
506306901111413, POLAREN, POLAREN, NOT FOUND, 2MG CX COM 20 COMP, CF2
506306902134417, POLAREN, POLAREN, NOT FOUND, SOL ORAL CX COM 1 FR DE 100ML, CF2
506307002110412, POSLOV, POSLOV, NOT FOUND, 0.75 MG COM CT BL AL PVC INC X 2, CF2
506307001114414, POSLOV, POSLOV, NOT FOUND, 0.75MG 2 CPR, CF2
506302701169415, PRONENEN, PRONENEN, NOT FOUND, 5000UI+900UI+150MG/G POM CX C/ 01 BISN C/45G, CF2
506312501111410, PYRISEPT, PYRISEPT, NOT FOUND, 100 MG DRG CT 5 BL AL PLAS INC X 5, CF2
506312502118419, PYRISEPT, PYRISEPT, NOT FOUND, 200 MG DRG CT 2 BL AL PLAS INC X 9, CF2
506307401112419, PYVERM, PYVERM, NOT FOUND, 100MG CX 6 DRAGEAS, CF2
506307402135412, PYVERM, PYVERM, NOT FOUND, 10MG/ML SUSP ORAL CX COM 1 FR 40ML, CF2
506306502111411, PANTEC, PANTEC, NOT FOUND, 150 MG CAP DURA CT BL AL PLAS INC X 2, CF2
506306501113419, PANTEC, PANTEC, NOT FOUND, 150MG CX 1 CAPS, CF2
506306601177419, PEDIDERM, PEDIDERM, NOT FOUND, 0.2MG/ML LOC CX COM 1 FR COM 100ML, CF2
506306602173417, PEDIDERM, PEDIDERM, NOT FOUND, 0.2MG/ML SHAMP CX COM 1 FR COM 100ML, CF2
