506302801163419, DEXADEN, DEXADEN, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G, CF2
506302902131415, DEXTAMINE, DEXTAMINE, NOT FOUND, (0.4 + 0.05) MG/ML XPE CT FR VD AMB X 120 ML + CP MED, CF2
506314070028604, DEXTAMINE, DEXTAMINE, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS OPC X 20, CF2
506303601117411, DORCIFLEXIN, DORCIFLEXIN, NOT FOUND, 35 MG+ 300 MG + 50 MG COM CT BL AL PLAS TRANS X 144, CF2
506313801119415, DORCIFLEXIN, DORCIFLEXIN, NOT FOUND, 35 MG+ 300 MG + 50 MG COM CT BL AL PLAS TRANS X 240 (EMB HOSP), CF2
506303703130417, DORILESS, DORILESS, NOT FOUND, (500 MG+10MG+ 5 MG )/1.5ML SOL OR CT FR VD AMB GOT X 15 ML , CF2
506303701111415, DORILESS, DORILESS, NOT FOUND, 500MG+10MG+5MG COM CT BL AL PLAS TRANS X 12, CF2
506303702118413, DORILESS, DORILESS, NOT FOUND, 500MG+10MG+5MG COM CT BL AL PLAS TRANS X 200, CF2
506314060028504, DEXADEN, DEXADEN, NOT FOUND, 0.1MG/ML ELX CT FR VD AMB X 100 ML + COP, CF2
506303101114421, DIFEBRIL, DIFEBRIL, NOT FOUND, 500 MG COM CT STR X 100, CF2
506303105111419, DIFEBRIL, DIFEBRIL, NOT FOUND, 500 MG COM CT BL AL PLAS TRANS X 100, CF2
506303102137425, DIFEBRIL, DIFEBRIL, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CF2
506303103133423, DIFEBRIL, DIFEBRIL, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, CF2
