506313401110410, VARICOSS, VARICOSS, NOT FOUND, 15 MG + 90 MG DRG CT 2 BL AL PLAS INC X 10, CF2
506313402117419, VARICOSS, VARICOSS, NOT FOUND, 15 MG + 90 MG DRG CT 3 BL AL PLAS INC X 20, CF2
506308201117415, VASTATIL, VASTATIL, NOT FOUND, 10MG CX COM 30 COMP, CF2
506308202113413, VASTATIL, VASTATIL, NOT FOUND, 20MG CX COM 30 COMP, CF2
506308205112418, VASTATIL, VASTATIL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, CF2
506308203111414, VASTATIL, VASTATIL, NOT FOUND, 40MG CX COM 10 COMP, CF2
506308206119416, VASTATIL, VASTATIL, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, CF2
506308204116411, VASTATIL, VASTATIL, NOT FOUND, 80MG CX COM 10 COMP, CF2
506312601116414, VENOVAZ, VENOVAZ, NOT FOUND, 450 MG + 50 MG COM REV CT 2 BL AL PLAS INC X 15, CF2
506312602112412, VENOVAZ, VENOVAZ, NOT FOUND, 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60, CF2
506308304110413, VERMECTIL, VERMECTIL, NOT FOUND, 6 MG COM CT ENV AL POLIET X 2, CF2
506308303114415, VERMECTIL, VERMECTIL, NOT FOUND, 6 MG COM CT ENV AL POLIET X 4, CF2
506308301111419, VERMECTIL, VERMECTIL, NOT FOUND, 6MG COM 2 COMP, CF2
506308302118417, VERMECTIL, VERMECTIL, NOT FOUND, 6MG COM 4 COMP, CF2
506308401116412, VERMIBEN, VERMIBEN, NOT FOUND, 100MG CX COM 6 COMP, CF2
506308402139416, VERMIBEN, VERMIBEN, NOT FOUND, 2% SUSP ORAL CX COM 1 FR 30 ML, CF2
506308501110416, VERMICLASE, VERMICLASE, NOT FOUND, 200MG CX COM 2 COMP, CF2
506308503113412, VERMICLASE, VERMICLASE, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 1, CF2
506308502133411, VERMICLASE, VERMICLASE, NOT FOUND, 40MG/ML SUSP ORAL CX COM 1 FR 10ML, CF2
506311701133428, VITERCAL C, VITERCAL C, NOT FOUND, 500MG+600MG 10CPR EFERVECENTES, CF2
506314802135412, VITERGYL C, VITERGYL C, NOT FOUND, 1G COM EFEV CT 3 TB PLAS X 10 , CF2
506314801139414, VITERGYL C, VITERGYL C, NOT FOUND, 1G COM EFEV CT TB PLAS X 10 (SABOR LARANJA), CF2
506314803131410, VITERGYL C, VITERGYL C, NOT FOUND, 200 MG/ML SOL OR CT FR VD AMB CTG X 20 ML, CF2
506314804111413, VITERGYL C, VITERGYL C, NOT FOUND, 2G COM EFEV CT TB PLAS X 10 , CF2
506314805118411, VITERGYL C, VITERGYL C, NOT FOUND, 500 MG COM CT ENV AL POLIET X 20, CF2
506313401110410, VARICOSS, VARICOSS, NOT FOUND, 15 MG + 90 MG DRG CT 2 BL AL PLAS INC X 10, CF2
506313402117419, VARICOSS, VARICOSS, NOT FOUND, 15 MG + 90 MG DRG CT 3 BL AL PLAS INC X 20, CF2
506308201117415, VASTATIL, VASTATIL, NOT FOUND, 10MG CX COM 30 COMP, CF2
506308202113413, VASTATIL, VASTATIL, NOT FOUND, 20MG CX COM 30 COMP, CF2
506308205112418, VASTATIL, VASTATIL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, CF2
506308203111414, VASTATIL, VASTATIL, NOT FOUND, 40MG CX COM 10 COMP, CF2
506308206119416, VASTATIL, VASTATIL, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, CF2
506308204116411, VASTATIL, VASTATIL, NOT FOUND, 80MG CX COM 10 COMP, CF2
506312601116414, VENOVAZ, VENOVAZ, NOT FOUND, 450 MG + 50 MG COM REV CT 2 BL AL PLAS INC X 15, CF2
506312602112412, VENOVAZ, VENOVAZ, NOT FOUND, 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60, CF2
506308304110413, VERMECTIL, VERMECTIL, NOT FOUND, 6 MG COM CT ENV AL POLIET X 2, CF2
506308303114415, VERMECTIL, VERMECTIL, NOT FOUND, 6 MG COM CT ENV AL POLIET X 4, CF2
506308301111419, VERMECTIL, VERMECTIL, NOT FOUND, 6MG COM 2 COMP, CF2
506308302118417, VERMECTIL, VERMECTIL, NOT FOUND, 6MG COM 4 COMP, CF2
506308401116412, VERMIBEN, VERMIBEN, NOT FOUND, 100MG CX COM 6 COMP, CF2
506308402139416, VERMIBEN, VERMIBEN, NOT FOUND, 2% SUSP ORAL CX COM 1 FR 30 ML, CF2
506308501110416, VERMICLASE, VERMICLASE, NOT FOUND, 200MG CX COM 2 COMP, CF2
506308503113412, VERMICLASE, VERMICLASE, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 1, CF2
506308502133411, VERMICLASE, VERMICLASE, NOT FOUND, 40MG/ML SUSP ORAL CX COM 1 FR 10ML, CF2
506311701133428, VITERCAL C, VITERCAL C, NOT FOUND, 500MG+600MG 10CPR EFERVECENTES, CF2
506314804111413, VITERGYL C, VITERGYL C, NOT FOUND, 2G COM EFEV CT TB PLAS X 10 , CF2
506313401110410, VARICOSS, VARICOSS, NOT FOUND, 15 MG + 90 MG DRG CT 2 BL AL PLAS INC X 10, CF2
506313402117419, VARICOSS, VARICOSS, NOT FOUND, 15 MG + 90 MG DRG CT 3 BL AL PLAS INC X 20, CF2
506308201117415, VASTATIL, VASTATIL, NOT FOUND, 10MG CX COM 30 COMP, CF2
506308202113413, VASTATIL, VASTATIL, NOT FOUND, 20MG CX COM 30 COMP, CF2
506308205112418, VASTATIL, VASTATIL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, CF2
506308203111414, VASTATIL, VASTATIL, NOT FOUND, 40MG CX COM 10 COMP, CF2
506308206119416, VASTATIL, VASTATIL, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, CF2
506308204116411, VASTATIL, VASTATIL, NOT FOUND, 80MG CX COM 10 COMP, CF2
506312601116414, VENOVAZ, VENOVAZ, NOT FOUND, 450 MG + 50 MG COM REV CT 2 BL AL PLAS INC X 15, CF2
506312602112412, VENOVAZ, VENOVAZ, NOT FOUND, 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60, CF2
506308304110413, VERMECTIL, VERMECTIL, NOT FOUND, 6 MG COM CT ENV AL POLIET X 2, CF2
506308303114415, VERMECTIL, VERMECTIL, NOT FOUND, 6 MG COM CT ENV AL POLIET X 4, CF2
506308301111419, VERMECTIL, VERMECTIL, NOT FOUND, 6MG COM 2 COMP, CF2
506308302118417, VERMECTIL, VERMECTIL, NOT FOUND, 6MG COM 4 COMP, CF2
506308401116412, VERMIBEN, VERMIBEN, NOT FOUND, 100MG CX COM 6 COMP, CF2
506308402139416, VERMIBEN, VERMIBEN, NOT FOUND, 2% SUSP ORAL CX COM 1 FR 30 ML, CF2
506308501110416, VERMICLASE, VERMICLASE, NOT FOUND, 200MG CX COM 2 COMP, CF2
506308503113412, VERMICLASE, VERMICLASE, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 1, CF2
506308502133411, VERMICLASE, VERMICLASE, NOT FOUND, 40MG/ML SUSP ORAL CX COM 1 FR 10ML, CF2
