506304401111426, GERILON, GERILON, NOT FOUND, CAP GEL MOLE CT BL AL PLAS INC X 30, CF2
506304402118424, GERILON, GERILON, NOT FOUND, CAP GEL MOLE CT BL AL PLAS INC X 60, CF2
506313601136413, GASTROLIV, GASTROLIV, NOT FOUND, (35.6 + 37.0 + 46.0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR LARANJA), CF2
506313602132411, GASTROLIV, GASTROLIV, NOT FOUND, (35.6 + 37.0 + 46.0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR LIMAO), CF2
506313603139411, GASTROLIV, GASTROLIV, NOT FOUND, (35.6 + 37.0 + 46.0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR ABACAXI), CF2
506304701131414, GRIPEOL, GRIPEOL, NOT FOUND, 100 MG + 2 MG +2 MG/ ML SOL OR CT FR PLAS OPC GOT X 20 ML, CF2
506304703118415, GRIPEOL, GRIPEOL, NOT FOUND, 400 MG + 4 MG +4 MG CAP GEL DURA CT BL AL PLAS TRANS X 20, CF2
506304704114413, GRIPEOL, GRIPEOL, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA CT 50 BL AL PLAS TRANS X 4, CF2
506304702138412, GRIPEOL, GRIPEOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB X 100 ML + COP, CF2
506312302119411, GLICARON, GLICARON, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CF2
506312303115411, GLICARON, GLICARON, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), CF2
506312301112413, GLICARON, GLICARON, NOT FOUND, 80 MG COM CT 3 BL AL PLAS INC X 20 , CF2
506304203115417, GASTROMAX, GASTROMAX, NOT FOUND, 300 MG COM CT BL AL PLAS TRANS X 200 (EMB HOSP), CF2
