1256802380038; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP DURA CT BL AL PLAS TRANS X 60; PZ8
1256802380054; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP DURA CT BL AL PLAS TRANS X 300 (EMB HOSP); PZ8
1256802380021; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP DURA CT BL AL PLAS TRANS X 30; PZ8
1256802380089; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP DURA CT BL AL PLAS TRANS X 30; PZ8
1256802380097; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP DURA CT BL AL PLAS TRANS X 60; PZ8
1256802380119; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP DURA CT BL AL PLAS TRANS X 300 (EMB HOSP); PZ8
1256801780024; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801780016; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; PZ8
1256801780032; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); PZ8
1256800180015; GYNO-POLIBIOTIC; GYNO POLIBIOTIC; NOT FOUND; 500MG+100.000UI CREM VAG BG 50G AL + APLIC; PZ8
1256800490010; GYNO-FUNGIMICIN; GYNO FUNGIMICIN; NOT FOUND; 100.000 UI CREM VAG CX BG AL X 50 G; PZ8
