1256802030010; RINAFEN; RINAFEN; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR PET AMB X 100 ML + CP MED; PZ8
1256802030061; RINAFEN; RINAFEN; NOT FOUND; 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256802030053; RINAFEN; RINAFEN; NOT FOUND; 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
1256802030029; RINAFEN; RINAFEN; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CX 50 FR PET AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256802030045; RINAFEN; RINAFEN; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + 50 CP MED; PZ8
1256802030037; RINAFEN; RINAFEN; NOT FOUND; 40MG/ML+ 0.6 MG/ML + 0.6MG/ML SOL OR CT FR VD AMB X 100ML + CP MED; PZ8
1256800890438; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) + 50 COP; PZ8
1256800890357; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) + 50 COP; PZ8
1256800890098; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); PZ8
1256800890063; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); PZ8
1256800890144; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS AMB X 60 ML (EMB HOSP); PZ8
1256800890160; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS AMB X 60 ML (EMB HOSP); PZ8
1256800890081; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) ; PZ8
1256800890055; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP) ; PZ8
1256800890187; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CT FR PLAS OPC X 105 ML; PZ8
1256800890195; RUBROMICIN; RUBROMICIN; NOT FOUND; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 105 ML (EMB HOSP); PZ8
1256800890209; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC X 105 ML ; PZ8
1256800890217; RUBROMICIN; RUBROMICIN; NOT FOUND; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 105 ML (EMB HOSP); PZ8
1256800890012; RUBROMICIN; RUBROMICIN; NOT FOUND; 250 MG COM REV CT 25 BL AL PLAS AMB X 12 (EMB HOSP); PZ8
1256800890039; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM REV CT 25 BL AL PLAS AMB X 12 (EMB HOSP); PZ8
1256800890179; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 480 (EMB HOSP); PZ8
1256800890047; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM REV CX BL AL PLAS AMB X 12 (EMB COM); PZ8
1256800890225; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS AMB X 12; PZ8
1256800890241; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS AMB X 480 (EMB HOSP); PZ8
1256800890251; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 12; PZ8
1256800890268; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256800890276; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB HOSP); PZ8
1256800890284; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 12; PZ8
1256800890292; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 300 (EMB HOSP); PZ8
1256800890306; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 480 (EMB HOSP); PZ8
1256800890233; RUBROMICIN; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS AMB X 300 (EMB HOSP); PZ8
