1256802120044; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256802120052; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 240 (EMB FRAC); PZ8
1256802120060; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256802120079; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256802120028; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 600 (EMB MULT); PZ8
1256802120011; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20 ; PZ8
1256802120036; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 200 (EMB MULT); PZ8
1256802140010; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CT FR PLAS OPC X 60 ML + CP MED ; PZ8
1256802140029; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CT FR PLAS OPC X 80 ML + CP MED ; PZ8
1256802140037; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CT FR PLAS OPC X 105 ML + CP MED; PZ8
1256802140045; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED (EMB HOSP); PZ8
1256802140053; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 25 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML + 50 CP MED (EMB HOSP); PZ8
1256802140088; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CT FR PLAS OPC X 105 ML + CP MED; PZ8
1256802140061; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CT FR PLAS OPC X 60 ML + CP MED; PZ8
1256802140071; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CT FR PLAS OPC X 80 ML + CP MED; PZ8
1256802140101; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML + 50 CP MED (EMB HOSP); PZ8
1256802140096; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED (EMB HOSP); PZ8
1256802080085; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 350 (EMB HOSP); PZ8
1256802080115; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 14; PZ8
1256802080123; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 20; PZ8
1256802080050; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 560 (EMB HOSP); PZ8
1256802080042; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 420 (EMB HOSP); PZ8
1256802080034; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 350 (EMB HOSP); PZ8
1256802080026; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 20; PZ8
1256802080018; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 14; PZ8
1256802080107; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 560 (EMB HOSP); PZ8
