1256800490030; FREEGAS; FREEGAS; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15ML; PZ8
1256800490049; FREEGAS; FREEGAS; NOT FOUND; 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 10ML (EMBL HOSP); PZ8
1256800490014; FREEGAS; FREEGAS; NOT FOUND; 40MG COM CT 2 BL AL PLAS INC X 10; PZ8
1256800490022; FREEGAS; FREEGAS; NOT FOUND; 40 MG COM CT 30 BL AL PLAS INC X 10 (EMB HOSP); PZ8
1256801990029; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 2; PZ8
1256801990010; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 1; PZ8
1256801990053; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 100 (EMB HOSP); PZ8
1256801990037; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 20; PZ8
1256801990061; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 200 (EMB HOSP); PZ8
1256801990045; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 40; PZ8
1256801990061; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256801990096; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 90 (EMB FRAC); PZ8
1256801660010; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC ; PZ8
1256801660029; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 20 MG/G CREM VAG CX 100 BG AL X 20 G + 300 APLIC (EMB HOSP)

; PZ8
1256800820014; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1MG/ML SOL OR CT FR VD AMB X 100ML + CP DOS 10ML; PZ8
1256800820030; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1MG/ML SOL OR CT FR VD AMB X 120ML + CP DOS 10ML; PZ8
1256800820022; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + CP DOS 10 ML (EMB HOSP); PZ8
1256801290051; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 100 ML + CP MED; PZ8
1256801290078; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; PZ8
1256801290019; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 100 ML; PZ8
1256801290035; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 120 ML; PZ8
1256801290061; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256801290086; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML (EMB HOSP); PZ8
1256801290027; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR VD AMB X 100 ML (EMB HOSP); PZ8
1256801290043; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR VD AMB X 120 ML (EMB HOSP); PZ8
1256800820049; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS OPC X 100 ML + CP DOS 10 ML; PZ8
1256800820057; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP DOSAD 10 ML; PZ8
1256800820065; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED 10 ML (EMB HOSP); PZ8
1256801290124; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 60 ML + CP MED (EMB HOSP); PZ8
1256801290116; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR VD AMB X 60 ML + CP MED (EMB HOSP); PZ8
1256801290108; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 60 ML + CP MED; PZ8
1256801290094; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 60 ML + CP MED; PZ8
1256801290175; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 100 ML + SER DOSAD; PZ8
1256801290191; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 120 ML + SER DOSAD; PZ8
1256801290213; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 60 ML + SER DOSAD; PZ8
1256801290132; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOSAD; PZ8
1256801290159; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 120 ML + SER DOSAD; PZ8
1256801290221; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 60 ML + SER DOSAD; PZ8
1256801290183; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801290205; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801290248; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801290140; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801290167; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR VD AMB X 120 ML + 50 SER DOSAD; PZ8
1256801290231; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 3 MG/ML SOL OR CX 50 FR VD AMB X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256800820073; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS OPC X 100 ML + SER DOSAD; PZ8
1256800820081; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS OPC X 120 ML + SER DOSAD; PZ8
1256800820103; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOSAD; PZ8
1256800820111; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + SER DOSAD; PZ8
