1256802280017; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML; PZ8
1256802280025; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256802280033; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256801670040; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 30; PZ8
1256801670032; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); PZ8
1256801670024; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801670067; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); PZ8
1256801670059; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801670016; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; PZ8
1256800240050; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML (EMB HOSP); PZ8
1256800240069; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 240 ML (EMB HOSP); PZ8
1256800240034; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; PZ8
1256800240042; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 150 ML (EMB HOSP) ; PZ8
1256800240018; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR VD AMB X 150 ML; PZ8
1256800240026; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR VD AMB X 150 ML (EMB HOSP); PZ8
1256800240093; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML + CP MED; PZ8
1256800240107; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 150 ML + 50 CP MED (EMB HOSP); PZ8
1256800240115; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256800240077; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR VD AMB X 150 ML + CP MED; PZ8
1256800240123; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR PLAS OPC X 240 ML + 50 CP MED (EMB HOSP); PZ8
1256800240085; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CX 50 FR VD AMB X 150 ML + 50 CP MED (EMB HOSP); PZ8
