1256800960037; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG PLAS OPC X 40 G; PZ8
1256800960010; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG AL X 40G; PZ8
1256800960029; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CX 50 BG AL X 40 G (EMB HOSP); PZ8
1256800960045; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CX 50 BG PLAS OPC X 40G (EMB HOSP); PZ8
1256801300014; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45 G + 10 APLIC VAG; PZ8
1256801300022; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CX 50 BG AL X 45 G + 500 APLIC VAG (EMB HOSP); PZ8
1256801300030; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CX 50 BG AL X 60 G + 700 APLIC VAG (EMB HOSP); PZ8
1256801300049; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G +12.5 MG/G CREM VAG CX 50 BG AL X 60 G + 700 APLIC VAG; PZ8
1256801530133; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256801530141; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256801530151; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256801530168; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256801530176; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256801530184; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
