1256801590063; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801590012; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ ML XPE CT FR PLAS AMB X 120 ML + CP MED; PZ8
1256801590020; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801590039; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
1256801590055; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CT FR PLAS AMB X 120 ML + CP MED; PZ8
1256801590071; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
1256801590081; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801590047; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801590101; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; PZ8
1256801590098; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801590111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; PZ8
1256801590128; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801260012; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G ; PZ8
1256801260020; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP); PZ8
1256801170072; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CX 100 BG AL X 15 G (EMB HOSP); PZ8
1256801170031; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801170080; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CX 100 BG PLAS OPC X 15 G (EMB HOSP); PZ8
1256801170048; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256801170056; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 15 G; PZ8
1256801170013; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G; PZ8
1256801170064; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG PLAS OPC X 15 G; PZ8
1256801170021; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG PLAS OPC X 30 G; PZ8
1256801250051; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 15 G; PZ8
1256801250017; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 30 G; PZ8
1256801250068; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG PLAS OPC X 15 G; PZ8
1256801250025; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG PLAS OPC X 30 G; PZ8
