1256801280031; SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA; SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; PZ8
1256801280021; SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA; SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G; PZ8
1256801280013; SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA; SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 200 BG AL X 15 G (EMB HOSP); PZ8
1256801280048; SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA; SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 50 BG AL X 50 G (EMB HOSP); PZ8
1256801280056; SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA; SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 10 G; PZ8
1256801280064; SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA; SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 200 BG AL X 10 G (EMB HOSP); PZ8
1256800460042; SIOCONAZOL; SIOCONAZOL; NOT FOUND; 20 MG/G CREM CX 50 BG AL X 30 G (EMB HOSP); PZ8
1256800460034; SIOCONAZOL; SIOCONAZOL; NOT FOUND; 20 MG/G CREM CT BG AL X 30G; PZ8
1256800460026; SIOCONAZOL; SIOCONAZOL; NOT FOUND; 200 MG COM CX 30 BL AL PLAS INC X 10 (EMB HOSP); PZ8
1256800460018; SIOCONAZOL; SIOCONAZOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; PZ8
1256800460050; SIOCONAZOL; SIOCONAZOL; NOT FOUND; 200 MG COM BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256801370012; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML ; PZ8
1256801370039; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML ; PZ8
1256801370020; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
1256801370047; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 15 ML (EMB HOSP) ; PZ8
1256801340016; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20 ; PZ8
1256801340024; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 200 (EMB MULT); PZ8
1256801340032; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801340040; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
1256800940028; SULFATO DE TERBUTALINA+GUAIFENESINA; SULFATO TERBUTALINA GUAIFENESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256800940011; SULFATO DE TERBUTALINA+GUAIFENESINA; SULFATO TERBUTALINA GUAIFENESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; PZ8
