1256802210019; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND; 30 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC X 2 + 2 + 4; PZ8
1256802210051; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND; 30 MG CAP GEL DURA + 500 MG COMP REV + 500 MG CAP GEL DURA CT 40 BL AL PLAS INC 2 + 2 + 4; PZ8
1256802210061; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND; 30 MG CAP GEL DURA + 500 MG COMP REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC 2 + 2 + 4 + 30 MG CAP GEL DURA BL AL PLAS INC X 14; PZ8
1256802210078; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND; 30 MG CAP GEL DURA + 500 MG COMP REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC 2 + 2 + 4 + 30 MG CAP GEL DURA BL AL PLAS INC X 28; PZ8
1256802110022; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 14; PZ8
1256802110030; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 28; PZ8
1256802110049; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 280 (EMB HOSP); PZ8
1256802110014; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 7  ; PZ8
1256802110065; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 840 (EMB HOSP); PZ8
1256802110057; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 560 (EMB HOSP); PZ8
1256802110081; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS TRANS X 140 (EMB FRAC); PZ8
1256802160021; LISPELIN; LISPELIN; NOT FOUND; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 14; PZ8
1256802160011; LISPELIN; LISPELIN; NOT FOUND; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 7; PZ8
1256802070012; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CX 100 BG AL X 25 G (EMB HOSP); PZ8
1256802070020; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CT BG AL X 25 G; PZ8
1256800800021; LORATADINA; LORATADINA; LORATADINA; 1MG/ML XPE CT FR VD AMB X 100 ML; PZ8
1256800800013; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP); PZ8
1256800800031; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR PLAS OPC X 100 ML; PZ8
1256800800048; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CX 50 FR PLAS OPC X 100 ML (EMB HOSP); PZ8
1256800800072; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR PLAS OPC X 100 ML + CP MED; PZ8
1256800800064; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; PZ8
1256800800080; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256800800056; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256801520082; LORATADINA; LORATADINA; LORATADINA; 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256802020041; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 900 (EMB HOSP); PZ8
1256802020031; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256802020023; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256802020015; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 15; PZ8
1256802020082; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 900 (EMB HOSP); PZ8
1256802020074; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256802020066; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256802020058; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 15; PZ8
1256802020120; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 100 (EMB FRAC); PZ8
1256802020090; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 200 (EMB FRAC); PZ8
