1256800850101; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML + COP; PZ8
1256800850118; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP (EMB HOSP); PZ8
1256800850045; MALEATO DE DEXCLOFERINAMINA + BETAMETASONA; MALEATO DEXCLOFERINAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML; PZ8
1256800850061; MALEATO DE DEXCLOFERINAMINA + BETAMETASONA; MALEATO DEXCLOFERINAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CX 50 FR PLAS OPC X 100 ML (EMB HOSP); PZ8
1256800850053; MALEATO DE DEXCLOFERINAMINA + BETAMETASONA; MALEATO DEXCLOFERINAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CX 50 FR PLAS OPC X 120 ML (EMB HOSP); PZ8
1256800510031; MULTIGRAN; MULTIGRAN; NOT FOUND; 500 MG CAP GEL DURA CT 25 BL AL PLAS INC X 12; PZ8
1256800510023; MULTIGRAN; MULTIGRAN; NOT FOUND; 500MG CAP GEL DURA CT 25 BL AL PLAS INC X 4; PZ8
1256800510015; MULTIGRAN; MULTIGRAN; NOT FOUND; 500MG CAP GEL DURA CT 75 BL AL PLAS INC X 4; PZ8
1256800580013; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL ORAL CT FR VD AMB X 120ML; PZ8
1256800580021; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL ORAL CX 50 FR VD AMB X 100ML; PZ8
1256800580031; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR VD AMB X 120 ML + CP MED (EMB HOSP); PZ8
1256800580048; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; PZ8
1256800580056; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256800580064; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801520049; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL PLAS INC X 30; PZ8
1256801520014; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL PLAS INC X 30; PZ8
1256801520022; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801520091; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); PZ8
1256801520073; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL PLAS INC X 30; PZ8
1256801520065; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); PZ8
1256801520030; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); PZ8
1256801520057; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801520081; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801520170; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 300 (EMB HOSP) ; PZ8
1256801520162; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL /AL X 30; PZ8
1256801520154; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 1000 (EMB HOSP); PZ8
1256801520189; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 1000 (EMB HOSP) ; PZ8
1256801520121; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 1000 (EMB HOSP); PZ8
1256801520103; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL /AL X 30 ; PZ8
1256801520111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL / AL X 300 (EMB HOSP); PZ8
