1256801750028; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) ; PZ8
1256801750036; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED; PZ8
1256801750044; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT FR PLAS AMB X 120 ML +  CP MED; PZ8
1256801750011; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CX 50 FR PLAS AMB X 80 ML + 50 CP MED (EMB HOSP) ; PZ8
1256801620019; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC ; PZ8
1256801620027; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CX 50 BG AL X 40 G + 500 APLIC (EMB HOSP); PZ8
1256801970079; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL/AL X 400 (EMB HOSP); PZ8
1256801970052; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL/AL X 20 ; PZ8
1256801970060; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL/AL X 30; PZ8
1256801970087; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL/AL X 800 (EMB HOSP); PZ8
1256801970011; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL/AL X 20; PZ8
1256801970028; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL/AL X 30 ; PZ8
1256801970036; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL/AL X 400 (EMB HOSP) ; PZ8
1256801970044; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL/AL X 800 (EMB HOSP); PZ8
1256800600030; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; PZ8
1256800600014; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 100ML (EMB HOSP); PZ8
1256800600022; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 120ML (EMBL HOSP); PZ8
1256800610011; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5MG/ML SOL OR CT FR PLAS OPC GOT X 15ML; PZ8
1256800610028; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 15ML (EMB HOSP); PZ8
