1256801690165; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP DURA C/ MCGRAN CT BL AL PLAS TRANS X 60; PZ8
1256801690173; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP DURA C/ MCGRAN CT BL AL PLAS TRANS X 90; PZ8
1256801690025; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 420 (EMB HOSP); PZ8
1256801690017; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 30 ; PZ8
1256801690033; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 14; PZ8
1256801690092; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 10; PZ8
1256801690106; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 140 (EMB HOSP); PZ8
1256801690114; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801690051; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 140 (EMB HOSP); PZ8
1256801690084; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 800 (EMB HOSP); PZ8
1256801690076; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 560 (EMB HOSP); PZ8
1256801690041; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 30; PZ8
1256801690068; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
