1256800320038; IONCLOR; IONCLOR; NOT FOUND; 60MG/ML SOL OR CT FR VD AMB X 150ML; PZ8
1256800320021; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR VD AMB X 100 ML (EMB.HOSP); PZ8
1256800320046; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR VD AMB X 150 ML (EMB HOSP); PZ8
1256800320011; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CT FR VD AMB X 100ML; PZ8
1256800320054; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CT FR PLAS OPC X 100 ML; PZ8
1256800320070; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CT FR PLAS OPC X 150 ML; PZ8
1256800320062; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML (EMB HOSP); PZ8
1256800320089; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR PLAS OPC X 150 ML (EMB HOSP); PZ8
1256800320161; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR PLAS OPC X 150 ML + 50 CP MED; PZ8
1256800320143; IONCLOR; IONCLOR; NOT FOUND; 60 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED; PZ8
1256802190026; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256802190018; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML ; PZ8
1256802200031; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256802200048; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256802200056; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256802200064; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS TRANS X 320 (EMB FRAC); PZ8
1256801610021; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801610013; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 20; PZ8
1256801610031; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256802200013; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS INC X 20; PZ8
1256802200021; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS INC X 400 (EMB MULTI); PZ8
1256801610056; IBUPROFENO; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS OPC X 60 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CT FR PLAS AMB X 100 ML + CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CT FR PLAS AMB X 120 ML + CP MED; PZ8
