1256802230011; NERVAMIN; NERVAMIN; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256802230052; NERVAMIN; NERVAMIN; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801480012; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML ; PZ8
1256801480020; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CX 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); PZ8
1256800260027; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CX 200 FR VD AMB C/CGT X 30 ML (EMB HOSP); PZ8
1256800260019; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB C/CGT X 50 ML; PZ8
1256800260043; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR PLAS OPC C/CGT X 50 ML; PZ8
1256800260051; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CX 200 FR PLAS OPC C/CGT X 30 ML (EMB HOSP); PZ8
1256800260061; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CX 50 FR PLAS OPC C/ CGT X 50 ML (EMB HOSP); PZ8
1256800450012; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC; PZ8
1256800450020; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50  BG AL X 50 G + 50 APLIC (EMB HOSP) ; PZ8
1256800450063; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50  BG AL X 60 G + 50 APLIC (EMB HOSP); PZ8
1256800260035; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CX 50 FR VD AMB C/CGT X 50 ML (EMB HOSP); PZ8
1256800450039; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG PLAS OPC X 60 G + APLIC; PZ8
1256800450081; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50 BG PLAS OPC X 60 G + 50 APLIC (EMB HOSP); PZ8
1256800450071; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG PLAS OPC X 50 G + APLIC; PZ8
1256800450047; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50 BG PLAS OPC X 50 G + 50 APLIC (EMB HOSP); PZ8
1256800450128; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP); PZ8
1256800450101; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50 BG AL X 60 G + 700 APLIC (EMB HOSP); PZ8
1256800450098; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; PZ8
1256801400019; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G ; PZ8
1256801400035; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CX 50 BG AL X 50 G (EMB HOSP); PZ8
