1883000130086; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 50 FA VD INC X 10 ML (EMB HOSP); AA0
1883000100039; AXEPEN; AXEPEN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); AA0
1883000130019; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CT FA VD INC X 20 ML
; AA0
1883000130027; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 10 FA VD INC X 20 ML
; AA0
1883000130035; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 20 FA VD INC X 20 ML (EMB HOSP); AA0
1883000130043; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP); AA0
1883000130051; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CT FA VD INC X 10 ML; AA0
1883000130061; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 10 FA VD INC X 10 ML; AA0
1883000130078; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 20 FA VD INC X 10 ML (EMB HOSP); AA0
1883000120072; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); AA0
1883000030014; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP); AA0
1883000010021; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 20 ML (EMB HOSP); AA0
1883000010048; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 20 ML (EMB HOSP); AA0
