508015901138411, FILINAR, FILINAR, NOT FOUND, 10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED , EUF
508015902134418, FILINAR, FILINAR, NOT FOUND, CT C/ FR 120ML+COPO MED PEDIATRICO XPE 5MG/ML, EUF
508007001115110, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1MG CT C/ 30 COMP, EUF
508007002111119, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5MG CT C/ 15 COMP, EUF
508007003118117, FINASTERIDA, FINASTERIDA, FINASTERIDA, CT C/ 30 COMP 5MG, EUF
508019901159118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ ML SOL INJ INF IV CX C/ 6 BOLSAS PLAST X 100 ML, EUF
508016001157114, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML , EUF
508016002153112, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, CX C/ 25 AMPOLAS, EUF
508016003151113, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, CX C/ 50 AMPOLAS, EUF
508007202153117, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 10 FA VD INC X 10 ML , EUF
508007203151118, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP) , EUF
508007201157119, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25MG/ML SOL INJ CT 5FA VD INC X 20ML, EUF
508007404112411, FLUXENE, FLUXENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508007401113417, FLUXENE, FLUXENE, NOT FOUND, CT C/ 2 BL X 7 CAPS, EUF
508007403116413, FLUXENE, FLUXENE, NOT FOUND, CT C/ 28 CAPS 10 MG, EUF
508007402111418, FLUXENE, FLUXENE, NOT FOUND, CT C/ 4 BL X 7 CAPS, EUF
508016102158116, FOLINATO DE CÁLCIO, FOLINATO CALCIO, FOLINATO CALCIO, 50 MG PO LIOF P/ SOL INJ DISP 50 FA VD AMB (EMB HOSP), EUF
508007601155113, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150MG/ML SOL INJ CT 50AMP VD INC X 4ML, EUF
508007603158111, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, INJ 600 MG CT C/ AMP X 4 ML, EUF
508025202119219, FOZNOL, FOZNOL, NOT FOUND, 500MG COM MAST CT FR PLAS OPC X 90, EUF
508025201112210, FOZNOL, FOZNOL, NOT FOUND, 750MG COM MAST CT FR PLAS OPC X 90, EUF
508016201164114, FUORATO DE MOMETASONA, FUORATO MOMETASONA, NOT FOUND, BISN 20G CREME, EUF
508016202160112, FUORATO DE MOMETASONA, FUORATO MOMETASONA, NOT FOUND, BISN 20G POMADA, EUF
