508010203157418, PACLITAX, PACLITAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML REST HOSP, EUF
508010202150411, PACLITAX, PACLITAX, NOT FOUND, 6MG/ML SOL INJ CT FA VD INC X 5 ML, EUF
508010303151111, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 10 FA VD INC X 16.7 ML, EUF
508010304158118, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 10 FA VD INC X 5 ML, EUF
508010305154116, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 20 FA VD INC X 16.7 ML, EUF
508010306150114, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 20 FA VD INC X 5 ML, EUF
508010301159113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML, EUF
508010302155111, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT FA VD INC X 5 ML, EUF
508026801113410, PACO, PACO, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 12, EUF
508010404152111, PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO, PAMIDRONATO DISSODICO, 30 MG PO LIOF P/SOL INJ CT 2 FA VD INC X 2 AMP PLAS DIL X 10 ML, EUF
508010406155118, PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO, PAMIDRONATO DISSODICO, 60 MG PO LIOF P/SOL INJ CT FA VD INC X AMP PLAS DIL X 10 ML, EUF
508010405159111, PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO, PAMIDRONATO DISSODICO, 90 MG PO LIOF P/SOL INJ CT FA VD INC X AMP PLAS DIL X 10 ML, EUF
508010501115411, PANTOCAL, PANTOCAL, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 14, EUF
508010502111411, PANTOCAL, PANTOCAL, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 28, EUF
508010503118418, PANTOCAL, PANTOCAL, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 7, EUF
508010509116417, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 14, EUF
508010510114414, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 7, EUF
508010504114416, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT FR PLAS OPC X 14, EUF
508010505110414, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT FR PLAS OPC X 28, EUF
508010506117412, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT FR PLAS OPC X 7, EUF
508010507156411, PANTOCAL, PANTOCAL, NOT FOUND, EV 40 MG PO LIOF. CT FR AMP + DIL X 10 ML, EUF
508010603112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, EUF
508010604119118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, EUF
508010602116111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, EUF
508010601152114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP), EUF
508010605158117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 10 (EMB HOSP), EUF
508010801135310, PEN VE, PEN VE, NOT FOUND, ORAL 250 MG-SUSP. FR 60 ML, EUF
508010802115313, PEN VE, PEN VE, NOT FOUND, ORAL 500.000-COMP. CT C/ 12 COMP, EUF
508016801137411, PERCOF, PERCOF, NOT FOUND, CT /C FR 120ML 120ML XAROPE, EUF
508021301163418, PERMUT, PERMUT, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 10 G, EUF
508021302161419, PERMUT, PERMUT, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 10 G, EUF
508011001116417, PONDERA, PONDERA, NOT FOUND, 10 MG COM CX C/ 10, EUF
508011002112415, PONDERA, PONDERA, NOT FOUND, 10 MG COM CX C/ 20, EUF
508011010115411, PONDERA, PONDERA, NOT FOUND, 15 MG COMP REV CT BL AL PLAS INC X 10, EUF
508011011111418, PONDERA, PONDERA, NOT FOUND, 15 MG COMP REV CT BL AL PLAS INC X 20, EUF
508011005111411, PONDERA, PONDERA, NOT FOUND, 20 MG COM REV CT 2 BL AL PLAS INC X 10 , EUF
508011006118418, PONDERA, PONDERA, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10 , EUF
508011008110414, PONDERA, PONDERA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 10, EUF
508011012118416, PONDERA, PONDERA, NOT FOUND, 25 MG COMP REV CT BL AL PLAS INC X 10, EUF
508011013114414, PONDERA, PONDERA, NOT FOUND, 25 MG COMP REV CT BL AL PLAS INC X 20, EUF
508011009117412, PONDERA, PONDERA, NOT FOUND, 30 MG COM REV CT BL AL PLAS INC X 10, EUF
508011007114416, PONDERA, PONDERA, NOT FOUND, 30 MG CT C/ 30 COMP, EUF
508011003119413, PONDERA, PONDERA, NOT FOUND, 40 MG COM CX C/ 10, EUF
508011004115411, PONDERA, PONDERA, NOT FOUND, 40 MG COM CX C/ 20, EUF
508011101153411, PREDMETIL, PREDMETIL, NOT FOUND, 125 MG INJ 50 FA + DIL X 2 ML, EUF
508011102151412, PREDMETIL, PREDMETIL, NOT FOUND, 500 MG INJ 50 FA + DIL X 8 ML, EUF
508018501114119, PREDNISONA, PREDNISONA, PREDNISONA, CT C/ 10 CPR 20MG, EUF
508018502110117, PREDNISONA, PREDNISONA, PREDNISONA, CT C/ 20 CPR 5MG, EUF
508011203118410, PRIMERA, PRIMERA, NOT FOUND, 0.150 MG + 0.020 MG COM REV CT BL AL PLAS INC X 63, EUF
508011204114419, PRIMERA, PRIMERA, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 63, EUF
508011201115414, PRIMERA, PRIMERA, NOT FOUND, CT C/ 21 COMP, EUF
508011202111412, PRIMERA, PRIMERA, NOT FOUND, CT C/ 21 COMP (20MG), EUF
508011303163310, PROFLAM, PROFLAM, NOT FOUND, 1.5% CREM DERM CT TB AL X 30 G , EUF
508011302116319, PROFLAM, PROFLAM, NOT FOUND, 100 MG COM REV CT BL AL/AL X 12 , EUF
508011305115313, PROFLAM, PROFLAM, NOT FOUND, 100 MG COM REV CT BL AL/AL X 6, EUF
508016901166111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, CT BISN 30G CREME, EUF
508016902162118, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, CT BISN 30G POMADA, EUF
508021401151111, PROPOFOL, PROPOFOL, PROPOFOL, 10 MG/ML EMU INJ CT 10 AMP VD INC X 20 ML, EUF
508010203157418, PACLITAX, PACLITAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML REST HOSP, EUF
508010202150411, PACLITAX, PACLITAX, NOT FOUND, 6MG/ML SOL INJ CT FA VD INC X 5 ML, EUF
508010303151111, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 10 FA VD INC X 16.7 ML, EUF
508010304158118, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 10 FA VD INC X 5 ML, EUF
508010305154116, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 20 FA VD INC X 16.7 ML, EUF
508010306150114, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT 20 FA VD INC X 5 ML, EUF
508010301159113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML, EUF
508010302155111, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ CT FA VD INC X 5 ML, EUF
508026801113410, PACO, PACO, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 12, EUF
508010404152111, PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO, PAMIDRONATO DISSODICO, 30 MG PO LIOF P/SOL INJ CT 2 FA VD INC X 2 AMP PLAS DIL X 10 ML, EUF
508010406155118, PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO, PAMIDRONATO DISSODICO, 60 MG PO LIOF P/SOL INJ CT FA VD INC X AMP PLAS DIL X 10 ML, EUF
508010405159111, PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO, PAMIDRONATO DISSODICO, 90 MG PO LIOF P/SOL INJ CT FA VD INC X AMP PLAS DIL X 10 ML, EUF
508010501115411, PANTOCAL, PANTOCAL, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 14, EUF
508010502111411, PANTOCAL, PANTOCAL, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 28, EUF
508010503118418, PANTOCAL, PANTOCAL, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 7, EUF
508010509116417, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 14, EUF
508010510114414, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 7, EUF
508010504114416, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT FR PLAS OPC X 14, EUF
508010505110414, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT FR PLAS OPC X 28, EUF
508010506117412, PANTOCAL, PANTOCAL, NOT FOUND, 40 MG COM REV CT FR PLAS OPC X 7, EUF
508010507156411, PANTOCAL, PANTOCAL, NOT FOUND, EV 40 MG PO LIOF. CT FR AMP + DIL X 10 ML, EUF
508010603112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, EUF
