1006301480030; AMOXIPEN; AMOXIPEN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); I_B
1006302250012; ANFOLIP B; ANFOLIP B; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC (REST HOSP); I_B
1006302250020; ANFOLIP B; ANFOLIP B; NOT FOUND; 50 MG PO LIOF INJ CT 10 FA VD INC (REST HOSP); I_B
1006301990012; AZANEM; AZANEM; NOT FOUND; 0.5 G PO INJ CT FA VD INC + SOL DIL X 3 ML; I_B
1006301990020; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CT FA VD INC + SOL DIL X 3 ML ; I_B
1006301990055; AZANEM; AZANEM; NOT FOUND; 0.5 G PO INJ CT 01 FA VD INC MONOVIAL; I_B
1006301990063; AZANEM; AZANEM; NOT FOUND; 0.5 G PO INJ CT 10 FA VD INC MONOVIAL; I_B
1006301990039; AZANEM; AZANEM; NOT FOUND; 0.5 G PO INJ CX 50 FA VD INC; I_B
1006301990071; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CT 01 FA VD INC MONOVIAL; I_B
1006301990081; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CT 10 FA VD INC MONOVIAL; I_B
1006301990047; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CX 50 FA VD INC; I_B
1006301990098; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CX FA VD INC; I_B
1006301990101; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CX 10 FA VD INC; I_B
1006301990111; AZANEM; AZANEM; NOT FOUND; 1.0 G PO INJ CX 25 FA VD INC; I_B
1006300030023; AMPLOSPEC; AMPLOSPEC; NOT FOUND; 1 G PO INJ CT 01 FA VD INC + AMP VD INC X 10 ML ; I_B
1006300030058; AMPLOSPEC; AMPLOSPEC; NOT FOUND; 1 G PO INJ CX 50 FA VD INC (EMB HOSP); I_B
