1006300430242; BIPENCIL; BIPENCIL; NOT FOUND; 1 G PO LIOF INJ CT 50 FA VD INC; I_B
1006300430242; BIPENCIL; BIPENCIL; NOT FOUND; CX. C/ 50 FA + DIL 1G; I_B
1006300430234; BIPENCIL; BIPENCIL; NOT FOUND; CX. C/ 50 FR + 50 AMP. 500 MG; I_B
1006300430234; BIPENCIL; BIPENCIL; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC; I_B
1006300480058; BIPENCIL; BIPENCIL; NOT FOUND; CX. C/ 200 CAPS. 500 MG; I_B
1006301920014; BESITRAC; BESITRAC; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML; I_B
1006301920049; BESITRAC; BESITRAC; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 5.0 ML; I_B
1006301860062; BETACEF; BETACEF; NOT FOUND; 500 MG CX. C/ 200 CAPS.; I_B
1006302040050; BIOFENT; BIOFENT; NOT FOUND; 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP) ; I_B
1006302040026; BIOFENT; BIOFENT; NOT FOUND; 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP) ; I_B
1006302040042; BIOFENT; BIOFENT; NOT FOUND; 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP) ; I_B
1006302040018; BIOFENT; BIOFENT; NOT FOUND; 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP); I_B
1006302040034; BIOFENT; BIOFENT; NOT FOUND; 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP) ; I_B
1006302060019; BIOSUFENIL; BIOSUFENIL; NOT FOUND; 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML  (REST HOSP); I_B
1006302060027; BIOSUFENIL; BIOSUFENIL; NOT FOUND; 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML  (REST HOSP); I_B
1006302060043; BIOSUFENIL; BIOSUFENIL; NOT FOUND; 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML (REST HOSP); I_B
1006302060035; BIOSUFENIL; BIOSUFENIL; NOT FOUND; 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML  (REST HOSP); I_B
1006301250078; BACTOFLOX; BACTOFLOX; NOT FOUND; 2 MG/ML SOL INJ CT FA VD INC X 100 ML ; I_B
1006301250043; BACTOFLOX; BACTOFLOX; NOT FOUND; 500 MG CX. C/ 14 COMP.; I_B
1006301610031; BACTOFLOX; BACTOFLOX; NOT FOUND; 500 MG CX. C/ 6 COMP.; I_B
1006300107003; BIOSCINA; BIOSCINA; NOT FOUND; INJETAVEL 5 ML CX. C/ 50 AMP.; I_B
1006301070001; BIOSCINA; BIOSCINA; NOT FOUND; GOTAS 15 ML CX. C/ 1 FR.; I_B
1006300107001; BIOSCINA; BIOSCINA; NOT FOUND; GOTAS 15ML CX. C/ 50 FR.; I_B
