1006301770020; CEZOLIN; CEZOLIN; NOT FOUND; 1 G PO SOL INJ CT FA VD INC; I_B
1006301770047; CEZOLIN; CEZOLIN; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC (EMB HOSP); I_B
1006301770047; CEZOLIN; CEZOLIN; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC (EMB HOSP); I_B
1006301890026; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CT FA VD INC + AMP DIL X 3.0 ML; I_B
1006301890034; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CT FA VD INC; I_B
1006301890018; CEMAX; CEMAX; NOT FOUND; 500 MG PO LIOF CT FA VD INC + AMP DIL X 1.5 ML; I_B
1006301890042; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 50 FA VD INC ; I_B
1006301890069; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 50 FA VD INC + 50 AMP DIL X 3.0 ML; I_B
1006301890050; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CX 50 FA VD INC ; I_B
1006301890077; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CT FA VD INC + 01 BOLSA PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
1006301890093; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 50 FA VD INC + 50 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
1006301890107; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CT FA VD INC + BOLSA PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
1006301890115; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CX 10 FA VD INC + 10 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
1006301890085; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 10 FA VD INC + 10 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
1006301890123; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CX 50 FA VD INC + 50 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
1006301380011; CEFAZIMA; CEFAZIMA; NOT FOUND; 1 G PO INJ CT FA VD INC + AMP DIL X 10 ML ; I_B
1006301380036; CEFAZIMA; CEFAZIMA; NOT FOUND; 1 G PO INJ CX 50 FA VD INC (EMB HOSP); I_B
1006302270072; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 50 FR VD INC (EMB HOSP); I_B
1006302270013; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 01 FA VD INC; I_B
1006302270031; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 01 FA VD INC + 9 MG/ML SOL INJ IV 01 BOLS PLAS PVC SIST FECH X 100 ML; I_B
1006302270048; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 10 FA VD INC + 9 MG/ML SOL INJ IV 10 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
1006302270021; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); I_B
1006302270056; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 50 FA VD INC + 9 MG/ML SOL INJ IV 50 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
1006302270064; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 01 FR VD INC; I_B
1006302270080; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 01 FA VD INC + 9 MG/ML SOL INJ IV 01 BOLS PLAS PVC SIST FECH X 100 ML; I_B
1006302270099; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 10 FA VD INC + 9 MG/ML SOL INJ IV 10 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
1006302270102; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 50 FA VD INC + 9 MG/ML SOL INJ IV 50 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
1006301960016; CLORTAMINA; CLORTAMINA; NOT FOUND; 50 MG/ML SOL INJ CX 05 FA VD INC X 10 ML(REST HOSP); I_B
1006301250043; CIPROFLOXACINA; CIPROFLOXACINA; NOT FOUND; FR. C/ 14 COMP.; I_B
1006302050013; CLORIDRATO DE IRINOTECANA; CLORIDRATO IRINOTECANA; NOT FOUND; 20 MG/ML SOL INJ IV CT FA VD AMB X 5 ML; I_B
1006301880012; CUTENOX; CUTENOX; NOT FOUND; 20 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.2 ML; I_B
1006301880020; CUTENOX; CUTENOX; NOT FOUND; 40 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.4 ML; I_B
1006301880039; CUTENOX; CUTENOX; NOT FOUND; 60 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.6 ML; I_B
1006301880047; CUTENOX; CUTENOX; NOT FOUND; 80 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.8 ML; I_B
1006301880055; CUTENOX; CUTENOX; NOT FOUND; 20 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.2 ML + SIST SEGURANCA; I_B
1006301880063; CUTENOX; CUTENOX; NOT FOUND; 40 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.4 ML + SIST SEGURANCA; I_B
1006301880071; CUTENOX; CUTENOX; NOT FOUND; 60 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.6 ML + SIST SEGURANCA; I_B
1006301880081; CUTENOX; CUTENOX; NOT FOUND; 80 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.8 ML + SIST SEGURANCA; I_B
