1006301370030; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT FR VD INC MONOVIAL; I_B
1006301370049; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT FR VD INC X 20 ML; I_B
1006301370014; TIEPEM; TIEPEM; NOT FOUND; 500 MG/500 MG PO INJ IV CT FA X 120 ML + DIL; I_B
1006301370057; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 10 FA VD INC; I_B
1006301370073; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT FA VD INC + BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP); I_B
1006301370081; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CX 10 FA VD INC + 10 BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP); I_B
1006301370065; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CX 50 FA VD INC (EMB HOSP); I_B
1006301370091; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CX 50 FA VD INC + 50 BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP); I_B
1006301370103; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 25 FA VD TRANS; I_B
1006301370111; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 100 FA VD TRANS; I_B
1006301370121; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 25 FA VD TRANS + 25 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006301370138; TIEPEM; TIEPEM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 100 FA VD TRANS + 100 BOLSPLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006301730029; TACLIPAXOL; TACLIPAXOL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD AMB X 17 ML (REST HOSP); I_B
1006301730010; TACLIPAXOL; TACLIPAXOL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD AMB X 5 ML (REST HOSP); I_B
1006301730053; TACLIPAXOL; TACLIPAXOL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 50 ML ( REST HOSP); I_B
1006302010011; TAZOCILINA; TAZOCILINA; NOT FOUND; 2 G + 250 MG PO LIOF INJ CT FA VD INC; I_B
1006302010021; TAZOCILINA; TAZOCILINA; NOT FOUND; 2 G + 250 MG PO LIOF INJ CX 10 FA VD INC; I_B
1006302010062; TAZOCILINA; TAZOCILINA; NOT FOUND; 2 G + 250 MG PO LIOF INJ CX 50 FA VD INC; I_B
1006302010038; TAZOCILINA; TAZOCILINA; NOT FOUND; 4 G + 500 MG PO LIOF INJ CT FA VD INC; I_B
1006302010046; TAZOCILINA; TAZOCILINA; NOT FOUND; 4 G + 500 MG PO LIOF INJ CX 10 FA VD INC; I_B
1006302010054; TAZOCILINA; TAZOCILINA; NOT FOUND; 4 G + 500 MG PO LIOF INJ CX 50 FA VD INC; I_B
