1006302180022; MONOCEF; MONOCEF; NOT FOUND; 750 MG PO INJ IM/IV CX 50 FA VD INC; I_B
1006302180030; MONOCEF; MONOCEF; NOT FOUND; 750 MG PO INJ IM/IV CT 1 FA VD INC + 1 DIL X 6 ML; I_B
1006302180014; MONOCEF; MONOCEF; NOT FOUND; 750 MG PO INJ IM/IV CT 01 FA VD INC; I_B
1006302180049; MONOCEF; MONOCEF; NOT FOUND; 750 MG PO INJ IM/IV CX 50 FA VD INC + 50 DIL X 6 ML; I_B
1006302030047; MIDADORM; MIDADORM; NOT FOUND; 5 MG/ML SOL INJ CT 10 AMP VD INC X 10 ML ; I_B
1006302030039; MIDADORM; MIDADORM; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML; I_B
1006302030020; MIDADORM; MIDADORM; NOT FOUND; 5 MG/ML SOL INJ CT 10 AMP VD INC X 3 ML ; I_B
1006302030012; MIDADORM; MIDADORM; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML ; I_B
1006302030063; MIDADORM; MIDADORM; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD INC X 10 ML  ; I_B
1006302030055; MIDADORM; MIDADORM; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML  ; I_B
1006302290014; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CT FA VD TRANS X 17.5 ML; I_B
1006302290022; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CX 10 FA VD TRANS X 17.5 ML; I_B
1006302290030; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CX 25 FA VD TRANS X 17.5 ML; I_B
1006302290049; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CX 50 FA VD TRANS X 17.5 ML; I_B
1006302290057; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CX 100 FA VD TRANS X 17.5 ML; I_B
1006302290065; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CT FA VD TRANS X 17.5 ML + BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006302290073; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CX 10 FA VD TRANS X 17.5 ML + 10 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006302290081; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 500 MG PO SOL INJ CX 50 FA VD TRANS X 17.5 ML + 50 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006302290091; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CT FA VD TRANS X 20 ML; I_B
1006302290103; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CX 10 FA VD TRANS X 20 ML; I_B
1006302290111; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CX 25 FA VD TRANS X 20 ML; I_B
1006302290121; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD TRANS X 20 ML; I_B
