520729501163115, BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA, BACITRACINA ZINCICA SULFATO NEOMICINA, NOT FOUND, 5MG/G + 250 UI/G POM DERM CX 50 BG AL X 15 G (EMB HOSP), TTB
520729503166111, BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA, BACITRACINA ZINCICA SULFATO NEOMICINA, NOT FOUND, 5MG/G + 250 UI/G POM DERM CT BG AL X 15 G, TTB
520729502161116, BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA, BACITRACINA ZINCICA SULFATO NEOMICINA, NOT FOUND, 5MG/G + 250 UI/G POM DERM CT BG AL X 50 G, TTB
520702701110412, BACLOFEN, BACLOFEN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, TTB
520703501158411, BEPEBEN, BEPEBEN, NOT FOUND, 1.200.000 UI PO SUS INJ CT 50 FA + DIL X 4 ML (EMB HOSP), TTB
520703503150416, BEPEBEN, BEPEBEN, NOT FOUND, 1.200.000 UI PO SUS INJ CX 50 FA (EMB HOSP), TTB
520703502154418, BEPEBEN, BEPEBEN, NOT FOUND, 600.000 UI PO SUS INJ CT 50 FA + DIL X 4 ML (EMB HOSP), TTB
520703504157414, BEPEBEN, BEPEBEN, NOT FOUND, 600.000 UI PO SUS INJ CX 50 FA (EMB HOSP), TTB
520703303151419, BENZAPEN G, BENZAPEN G, NOT FOUND, 300.000 UI + 100.000 UI PO SUS INJ CT 50 FA VD INC + 50 AMP DIL X 2 ML (EMB HOSP), TTB
520712100083906, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML + CP MED X 10 ML (EMB HOSP), TTB
520724001138110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT 01 FR VD AMB X 100 ML + CP MED X 10 ML, TTB
