520712030081104, INSONOX, INSONOX, NOT FOUND, 10 MG COM REV CT BL AL PVC INC X 10, TTB
520712030081204, INSONOX, INSONOX, NOT FOUND, 10 MG COM REV CT BL AL PVC INC X 20, TTB
520714050090803, IBUPRIL, IBUPRIL, NOT FOUND, 600 MG COM CT BL AL PLAS AMB X 20 , TTB
520714060091103, IBUPRIL, IBUPRIL, NOT FOUND, 300 MG COM CT BL AL PLAS AMB X 20  , TTB
520714060091203, IBUPRIL, IBUPRIL, NOT FOUND, 300 MG COM CT BL AL PLAS AMB X 100 (EMB FRAC), TTB
520714060091403, IBUPRIL, IBUPRIL, NOT FOUND, 400 MG CAP GELAT MOLE CT BL AL PLAS INC X 10, TTB
520714060091503, IBUPRIL, IBUPRIL, NOT FOUND, 400 MG CAP GELAT MOLE CT BL AL PLAS INC X 36 (EMB MULT), TTB
520714070092203, IBUPRIL, IBUPRIL, NOT FOUND, 400 MG COM REV CT BL AL PLAS TRANS X 10, TTB
520731003116117, IBUPROFENO, IBUPROFENO, IBUPROFENO, 400 MG COM REV CT BL AL PLAS INC X 10, TTB
520714010090203, IBUPRIL, IBUPRIL, NOT FOUND, 50 MG/ML SUS OR CT FR GOT PLAS X 30 ML , TTB
520731001131119, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50MG/ML SUS OR CX 50 FR GOT PLAS OPC X 30 ML (EMB HOSP), TTB
520731002136114, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50MG/ML SUS OR CT FR GOT PLAS OPC X 30 ML, TTB
520712304114419, IBUPRIL, IBUPRIL, NOT FOUND, 600 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), TTB
