520719101111412, TAGALIV, TAGALIV, NOT FOUND, COMP 200 MG CX C/ 40, TTB
520719102118410, TAGALIV, TAGALIV, NOT FOUND, COMP 400MG CX C/16, TTB
520719103157411, TAGALIV, TAGALIV, NOT FOUND, SOL INJ 150MG/ML C/100AMP, TTB
520719104153418, TAGALIV, TAGALIV, NOT FOUND, SOL INJ 150MG/ML CX C/06AMP, TTB
520722801137414, TENOFTAL, TENOFTAL, NOT FOUND, 0.5% SOL OFT CT FR PLAS OPC X 5 ML, TTB
520719201116416, TETRACLIN, TETRACLIN, NOT FOUND, 250 MG CAP GEL DURA CT ENV AL POLIET X 100, TTB
520719202112414, TETRACLIN, TETRACLIN, NOT FOUND, 500 MG CAP GEL DURA CT ENV AL POLIET X 100, TTB
520719301161413, TETRADERM, TETRADERM, NOT FOUND, CREME DERM BISN X 20G, TTB
520719502116415, TEUTOFORMIN, TEUTOFORMIN, NOT FOUND, 850 MG COM CT 30 BL AL PLAS INC X 5 (EMB HOSP), TTB
520719501111411, TEUTOFORMIN, TEUTOFORMIN, NOT FOUND, COMP 850MG CX C/30, TTB
520719701161410, TEUTOMICIN, TEUTOMICIN, NOT FOUND, 5MG/G + 250 UI POM DERM CT BG AL X 10G, TTB
520723701136414, TEUTONICO, TEUTONICO, NOT FOUND, SOL OR CT FR PLAS INC X 400 ML, TTB
520722901115412, TEUTOVIT E, TEUTOVIT E, NOT FOUND, 400 CAP CT FR PLAS OPC X 30, TTB
520719801113418, TEUTRIN, TEUTRIN, NOT FOUND, COMP 400 MG/80ML CX C/100, TTB
520719802111419, TEUTRIN, TEUTRIN, NOT FOUND, COMP 400 MG/80ML CX C/20, TTB
520719803132411, TEUTRIN, TEUTRIN, NOT FOUND, SUSP CX C/50 FR X 60ML, TTB
520719804139418, TEUTRIN, TEUTRIN, NOT FOUND, SUSP ORAL FR X 60 ML, TTB
520719901118411, TIABENZOL, TIABENZOL, NOT FOUND, COMP 500MG CX C/06, TTB
520719902130415, TIABENZOL, TIABENZOL, NOT FOUND, SUSP ORAL 250MG/5ML FR X 60ML, TTB
520723201151414, TRAMALIV, TRAMALIV, NOT FOUND, 100 MG/2 ML SOL INJ AMP VD AMB CX C/ 6, TTB
520723202113419, TRAMALIV, TRAMALIV, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS X 10, TTB
520723204159416, TRAMALIV, TRAMALIV, NOT FOUND, 50 MG/ML SOL INJ AMP VD AMB CX C/06, TTB
520723203152418, TRAMALIV, TRAMALIV, NOT FOUND, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 1 ML, TTB
520720003152411, TRIAXON, TRIAXON, NOT FOUND, 1 G IV PO INJ CT 50 FA VD INC (EMB HOSP), TTB
520720001151416, TRIAXON, TRIAXON, NOT FOUND, 1 G IV PO INJ CT FA + DIL, TTB
520720004159418, TRIAXON, TRIAXON, NOT FOUND, 1G IM PO INJ CT FA + DIL, TTB
520720006151414, TRIAXON, TRIAXON, NOT FOUND, 1G IM PO INJ CX 50 FA + DIL, TTB
520720007158412, TRIAXON, TRIAXON, NOT FOUND, 250 MG IM PO INJ CT FA + DIL, TTB
520720008154410, TRIAXON, TRIAXON, NOT FOUND, 500 MG IM PO INJ CT FA + DIL , TTB
520720005155416, TRIAXON, TRIAXON, NOT FOUND, 500 MG IV PO INJ CT 50 FA VD INC (EMB HOSP), TTB
520720002156411, TRIAXON, TRIAXON, NOT FOUND, 500 MG IV PO INJ CT FA + DIL, TTB
520719101111412, TAGALIV, TAGALIV, NOT FOUND, COMP 200 MG CX C/ 40, TTB
520719102118410, TAGALIV, TAGALIV, NOT FOUND, COMP 400MG CX C/16, TTB
520719103157411, TAGALIV, TAGALIV, NOT FOUND, SOL INJ 150MG/ML C/100AMP, TTB
520719104153418, TAGALIV, TAGALIV, NOT FOUND, SOL INJ 150MG/ML CX C/06AMP, TTB
520722801137414, TENOFTAL, TENOFTAL, NOT FOUND, 0.5% SOL OFT CT FR PLAS OPC X 5 ML, TTB
520719201116416, TETRACLIN, TETRACLIN, NOT FOUND, 250 MG CAP GEL DURA CT ENV AL POLIET X 100, TTB
520719202112414, TETRACLIN, TETRACLIN, NOT FOUND, 500 MG CAP GEL DURA CT ENV AL POLIET X 100, TTB
520719301161413, TETRADERM, TETRADERM, NOT FOUND, CREME DERM BISN X 20G, TTB
520719502116415, TEUTOFORMIN, TEUTOFORMIN, NOT FOUND, 850 MG COM CT 30 BL AL PLAS INC X 5 (EMB HOSP), TTB
520719501111411, TEUTOFORMIN, TEUTOFORMIN, NOT FOUND, COMP 850MG CX C/30, TTB
520719701161410, TEUTOMICIN, TEUTOMICIN, NOT FOUND, 5MG/G + 250 UI POM DERM CT BG AL X 10G, TTB
520723701136414, TEUTONICO, TEUTONICO, NOT FOUND, SOL OR CT FR PLAS INC X 400 ML, TTB
520719801113418, TEUTRIN, TEUTRIN, NOT FOUND, COMP 400 MG/80ML CX C/100, TTB
520719802111419, TEUTRIN, TEUTRIN, NOT FOUND, COMP 400 MG/80ML CX C/20, TTB
520719803132411, TEUTRIN, TEUTRIN, NOT FOUND, SUSP CX C/50 FR X 60ML, TTB
520719804139418, TEUTRIN, TEUTRIN, NOT FOUND, SUSP ORAL FR X 60 ML, TTB
520719901118411, TIABENZOL, TIABENZOL, NOT FOUND, COMP 500MG CX C/06, TTB
520719902130415, TIABENZOL, TIABENZOL, NOT FOUND, SUSP ORAL 250MG/5ML FR X 60ML, TTB
520723201151414, TRAMALIV, TRAMALIV, NOT FOUND, 100 MG/2 ML SOL INJ AMP VD AMB CX C/ 6, TTB
520723202113419, TRAMALIV, TRAMALIV, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS X 10, TTB
520723204159416, TRAMALIV, TRAMALIV, NOT FOUND, 50 MG/ML SOL INJ AMP VD AMB CX C/06, TTB
520723203152418, TRAMALIV, TRAMALIV, NOT FOUND, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 1 ML, TTB
520720003152411, TRIAXON, TRIAXON, NOT FOUND, 1 G IV PO INJ CT 50 FA VD INC (EMB HOSP), TTB
520720001151416, TRIAXON, TRIAXON, NOT FOUND, 1 G IV PO INJ CT FA + DIL, TTB
520720004159418, TRIAXON, TRIAXON, NOT FOUND, 1G IM PO INJ CT FA + DIL, TTB
520720006151414, TRIAXON, TRIAXON, NOT FOUND, 1G IM PO INJ CX 50 FA + DIL, TTB
520720007158412, TRIAXON, TRIAXON, NOT FOUND, 250 MG IM PO INJ CT FA + DIL, TTB
520720008154410, TRIAXON, TRIAXON, NOT FOUND, 500 MG IM PO INJ CT FA + DIL , TTB
520720005155416, TRIAXON, TRIAXON, NOT FOUND, 500 MG IV PO INJ CT 50 FA VD INC (EMB HOSP), TTB
520720002156411, TRIAXON, TRIAXON, NOT FOUND, 500 MG IV PO INJ CT FA + DIL, TTB
520719101111412, TAGALIV, TAGALIV, NOT FOUND, COMP 200 MG CX C/ 40, TTB
520719102118410, TAGALIV, TAGALIV, NOT FOUND, COMP 400MG CX C/16, TTB
520719103157411, TAGALIV, TAGALIV, NOT FOUND, SOL INJ 150MG/ML C/100AMP, TTB
520719104153418, TAGALIV, TAGALIV, NOT FOUND, SOL INJ 150MG/ML CX C/06AMP, TTB
520722801137414, TENOFTAL, TENOFTAL, NOT FOUND, 0.5% SOL OFT CT FR PLAS OPC X 5 ML, TTB
520719201116416, TETRACLIN, TETRACLIN, NOT FOUND, 250 MG CAP GEL DURA CT ENV AL POLIET X 100, TTB
520719202112414, TETRACLIN, TETRACLIN, NOT FOUND, 500 MG CAP GEL DURA CT ENV AL POLIET X 100, TTB
520719301161413, TETRADERM, TETRADERM, NOT FOUND, CREME DERM BISN X 20G, TTB
