520733801133414; DILABRONCO; DILABRONCO; NOT FOUND; 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; TTB
520733802131415; DILABRONCO; DILABRONCO; NOT FOUND; 5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; TTB
520708401151414; DEXADOZE; DEXADOZE; NOT FOUND; 4 MG/ML SUS INJ CT 3 AMP VD INC X1 ML + 5 MG/2 ML + 100 MG/ 2 ML + 100 MG/ 2 ML SOL INJ CT 3 AMP VD INC X 2 ML; TTB
520708403154410; DEXADOZE; DEXADOZE; NOT FOUND; 4 MG/ML SUSP INJ CT 60 AMP VD INC X 1 ML + 5 MG/2 ML + 100 MG/2 ML + 100 MG/2 ML SOL INJ CT 60 AMP VD INC X 2 ML (EMB HOSP); TTB
520703801119411; DIGESTIL; DIGESTIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; TTB
520712100085003; DIGESTIL; DIGESTIL; NOT FOUND; 10 MG COM CT BL AL PLAS PVC BRANCO OPC X 20 ; TTB
520703802131413; DIGESTIL; DIGESTIL; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; TTB
520708302171417; DERMDRYL; DERMDRYL; NOT FOUND; 10 MG/ML + 80 MG/ML + 1 MG/ML LOC CT FR PLAS OPC X 120 ML; TTB
520708301165413; DERMDRYL; DERMDRYL; NOT FOUND; 80 MG/G + 10 MG/G + 1 MG/G CREM DERM CT BG PLAS OPC X 28 G; TTB
520708201111419; DEPRAMINA; DEPRAMINA; DEPRAMINA; 25 MG COM REV CT BL AL PLAST INC X 20; TTB
520714100092903; DEXASON; DEXASON; NOT FOUND; 4MG COM CT BL AL PLAS AMB X 10; TTB
520708501131113; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX  CT FR VD AMB X 100 ML + CP MED; TTB
520708502136119; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1MG/ML ELX CT FR PET AMB X 100ML + CP MED; TTB
520708605131411; DEXASON; DEXASON; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 100 ML; TTB
520708604168419; DEXASON; DEXASON; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G; TTB
520708608163411; DEXASON; DEXASON; NOT FOUND; 1.0 MG/G CREM DERM CT 50 BG AL X 10 G (EMB.HOSP); TTB
520708503116111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS AMB X 10; TTB
520708603110417; DEXASON; DEXASON; NOT FOUND; 4 MG COM CT BL AL PLAS X 10; TTB
520712100085106; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); TTB
520727601152119; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CT 72 AMP VD AMB X 2 ML( EMB HOSP); TTB
520708803111115; DICLOFENACO; DICLOFENACO; DICLOFENACO; 50 MG COM DIS CT BL AL PLAS INC X 20; TTB
520709101135111; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; TTB
520708901162113; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; TTB
520712030081306; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL CT BG AL X 30 G; TTB
520714090092406; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 25 MG/ML SOL INJ CT 100 AMP VD AMB X 3 ML (EMB HOSP); TTB
520709001157111; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 25 MG/ML SOL INJ CX 100 AMP VD INC X 3 ML  (EMB. HOSP.); TTB
520709201156119; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP); TTB
520709202152117; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; TTB
520729101130112; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; TTB
520724801118114; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
520724802114112; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 30; TTB
520728202138110; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); TTB
520728201131112; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; TTB
520713010087006; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML ; TTB
520713010087106; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; TTB
520713060087806; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 50MG/ML SOL OR CT FR PET AMB X 100ML + COP MED; TTB
520709505155112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CT 100 AMP VD AMB  X 2 ML(EMB HOSP); TTB
520709506151110; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CT 120 AMP VD AMB  X 2 ML(EMB HOSP); TTB
520709501133122; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); TTB
520709503136129; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 10ML; TTB
520709502131123; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); TTB
520709504132127; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; TTB
520729301156417; DIPROSEN; DIPROSEN; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML; TTB
520729302152415; DIPROSEN; DIPROSEN; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT 120 AMP VD INC X 1 ML (EMB HOSP); TTB
520726601167118; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G  POM DERM CT BG AL X 30 G ; TTB
520708701171410; DEXAVISON; DEXAVISON; NOT FOUND; 1 MG/ML + 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; TTB
520709601111414; DIURIX; DIURIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; TTB
520709605117417; DIURIX; DIURIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; TTB
520709603114410; DIURIX; DIURIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 300 ( EMB HOSP) ; TTB
520709602118412; DIURIX; DIURIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; TTB
520709606113415; DIURIX; DIURIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; TTB
520709604110419; DIURIX; DIURIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 300 ( EMB HOSP); TTB
520712080083304; DERMOVAGIN; DERMOVAGIN; NOT FOUND; 30MG/G+20MG/G CREM VAG CT BG AL X 40G +7 APLIC ; TTB
520709404111411; DIMEZIN; DIMEZIN; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; TTB
520709405118411; DIMEZIN; DIMEZIN; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 80; TTB
520713110089003; DIMEZIN; DIMEZIN; NOT FOUND; 125MG CAP MOLE CX BL AL PLAS TRANS X 80 (EMB MULT); TTB
520709401112417; DIMEZIN; DIMEZIN; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; TTB
520709402135410; DIMEZIN; DIMEZIN; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML ; TTB
520709403131427; DIMEZIN; DIMEZIN; NOT FOUND; 75 MG/ML EMU OR CT 50 FR PLAS OPC GOT X 10 ML EMB. HOSP; TTB
