520733601118411, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 1, TTB
520733602114411, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 2, TTB
520733603110418, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 4, TTB
520733604117416, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 8, TTB
520729702169110, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, TTB
520729701162112, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, TTB
520723801114412, VENAFLON, VENAFLON, NOT FOUND, 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30, TTB
520720201132415, VALPRENE, VALPRENE, NOT FOUND, 250 MG/5 ML XPE CT FR VD AMB X 100 ML, TTB
520726001135118, VALPROATO DE SÓDIO, VALPROATO SODIO, VALPROATO SODIO, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, TTB
520726002131116, VALPROATO DE SÓDIO, VALPROATO SODIO, VALPROATO SODIO, 50 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520728701118115, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT BL AL PVDC OPC X 30, TTB
520728702114113, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT BL AL PVDC OPC X 50 (EMB HOSP), TTB
