520712080083104, PNEUMUCIL, PNEUMUCIL, NOT FOUND, 20MG/ML XPE CT FR VD AMB X 120ML + COP MED, TTB
520712080083204, PNEUMUCIL, PNEUMUCIL, NOT FOUND, 40MG/ML XPE CT FR VD AMB X 120ML + COP MED, TTB
520721701112411, PYLORITRAT, PYLORITRAT, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 14 + 14 + 28, TTB
520721702119411, PYLORITRAT, PYLORITRAT, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + 14 + 28, TTB
520717602113411, PROTANOL, PROTANOL, NOT FOUND, 25 MG COM REV CT BL AL PLAST INC X 20, TTB
520716301111411, PARKINSOL, PARKINSOL, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 75 , TTB
520717703114413, PROZEN, PROZEN, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520717701111417, PROZEN, PROZEN, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, TTB
520717702118415, PROZEN, PROZEN, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, TTB
520712100084403, PROZEN, PROZEN, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 7, TTB
520712100084503, PROZEN, PROZEN, NOT FOUND, 20 MG/ML SOL OR CT FR GOT  PLAS OPC X 10 ML , TTB
520717704137417, PROZEN, PROZEN, NOT FOUND, 20 MG/ML SOL OR CT FR GOT PLAS TRANSLUCIDO X 20 ML, TTB
520716901117410, PLAGEX, PLAGEX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, TTB
520716903136412, PLAGEX, PLAGEX, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS GOT OPC X 10 ML, TTB
520721501113414, PAROX, PAROX, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, TTB
520717501112411, PROFERGAN, PROFERGAN, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 20, TTB
520716201115415, PARKEXIN, PARKEXIN, NOT FOUND, 5 MG COM CT BL AL PVDC LEITOSO X 30, TTB
520730701111414, PLAVASC, PLAVASC, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 20, TTB
520730702118412, PLAVASC, PLAVASC, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 30, TTB
520716501119416, PENCILIN V, PENCILIN V, NOT FOUND, 500.000 UI COM CT ENV AL E POLIET X 12, TTB
520717102137419, POLARYN, POLARYN, NOT FOUND, 0.4 MG/ML XPE CT FR VD AMB X 100 ML, TTB
520717103168415, POLARYN, POLARYN, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 30 G, TTB
520717101114415, POLARYN, POLARYN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 20, TTB
520717402114414, PRESSOTEC, PRESSOTEC, NOT FOUND, 10 MG COM CT ENV AL POLIET X 30, TTB
520717404117410, PRESSOTEC, PRESSOTEC, NOT FOUND, 10 MG COM CT BL AL/AL X 30, TTB
520717403110412, PRESSOTEC, PRESSOTEC, NOT FOUND, 20 MG COM CT ENV AL POLIET X 30, TTB
520717405113419, PRESSOTEC, PRESSOTEC, NOT FOUND, 20 MG COM CT BL AL/AL X 30, TTB
520717401118416, PRESSOTEC, PRESSOTEC, NOT FOUND, 5 MG COM CT ENV AL POLIET X 30, TTB
520717406111411, PRESSOTEC, PRESSOTEC, NOT FOUND, 5 MG COM CT BL AL/AL X 30, TTB
520731401111417, PROSTAFLUX, PROSTAFLUX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, TTB
520716101137123, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 50 FR PLAS OPC GOT X 15 ML (EMB HOSP), TTB
520716102133121, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, TTB
520716107135122, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT 100 FR PLAS OPC GOT X 15 ML (EMB HOSP), TTB
520716106112110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, TTB
520713010086606, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS TRANS X 200 (EMB MULT), TTB
520716103113124, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), TTB
520716104111125, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, TTB
520712060081806, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT), TTB
520716105116120, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB HOSP), TTB
520714100092506, PREGABALINA, PREGABALINA, PREGABALINA, 150 MG CAP DURA CT BL AL PLAS TRANS X 28, TTB
520713080088206, PREGABALINA, PREGABALINA, PREGABALINA, 75 MG CAP DURA CT BL AL PLAS TRANS X 28, TTB
520713040087604, PROFERGAN, PROFERGAN, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, TTB
520725801162111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G POM DERM CT BG AL X 30 G, TTB
520725802169111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G CREM DERM CT BG AL X 30 G , TTB
