1236100330011; ONCODOX; ONCODOX; NOT FOUND; 10 MG PO LIOF INJ CX FA VD INC; MIZ
1236100330028; ONCODOX; ONCODOX; NOT FOUND; 50 MG PO LIOF INJ CX FA VD INC; MIZ
1236100560058; OPTIVATE; OPTIVATE; NOT FOUND; 500 UI PO LIOF INJ CX FA VD INC +  DIL FA VD INC 5 ML  + AGU FIL  ; MIZ
1236100560066; OPTIVATE; OPTIVATE; NOT FOUND; 1000 UI PO LIOF INJ CX FA VD INC +  DIL FA VD INC 10 ML  + AGU FIL   ; MIZ
1236100560041; OPTIVATE; OPTIVATE; NOT FOUND; 250 UI PO LIOF INJ CX FA VD INC +  DIL  FA  VD INC 5 ML  +SER DES 2.5 ML + AGU FIL  ; MIZ
1236100560090; OPTIVATE; OPTIVATE; NOT FOUND; 1000 UI PO LIOF INJ IV CX FA VD INC + DIL FA VD INC X 10 ML + CONJ REC; MIZ
1236100560074; OPTIVATE; OPTIVATE; NOT FOUND; 250 UI PO LIOF INJ IV CX FA VD INC + DIL FA VD INC X 2.5 ML + CONJ REC; MIZ
1236100560082; OPTIVATE; OPTIVATE; NOT FOUND; 500 UI PO LIOF INJ IV CX FA VD INC + DIL FA VD INC X 5 ML + CONJ REC; MIZ
1236100080013; OFLOCIN; OFLOCIN; NOT FOUND; 200 MG COM REV CT 3 BL X 10; MIZ
1236100080021; OFLOCIN; OFLOCIN; NOT FOUND; 200 MG COM REV CT 5 BL X 10; MIZ
1236100760014; OXALIMEIZ; OXALIMEIZ; NOT FOUND; 50 MG PO LIOF INJ IV CT FA VD AMB; MIZ
1236100760022; OXALIMEIZ; OXALIMEIZ; NOT FOUND; 100 MG PO LIOF INJ IV CT FA VD AMB; MIZ
