1236100050017; VIGAM; VIGAM; NOT FOUND; 2.5 G PO LIOF INJ FA + FA DIL X 50 ML + AGULHA FIL (IMUNOGLOBULINA HUMANA NORMAL); MIZ
1236100050025; VIGAM; VIGAM; NOT FOUND; 5 G PO LIOF INJ FA + FA DIL X 100 ML + AGULHA FIL (IMUNOGLOBULINA HUMANA NORMAL); MIZ
1236100050068; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 1.0 G SOL INJ CT FA VD INC X 20 ML + EQUIPO; MIZ
1236100050041; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 2.5G SOL INJ CT FA VD INC X 50ML + EQUIPO; MIZ
1236100050051; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 5.0 G SOL INJ CT FA VD INC X 100 ML + EQUIPO; MIZ
1236100050076; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 10 G SOL INJ CX FA VD INC X 200 ML + EQP; MIZ
1596547532589; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; CONTROLE; MIZ
1236100810054; VIMPAT; VIMPAT; NOT FOUND; 10 MG/ML SOL OR CT FR VD AMB 200 ML; MIZ
1236100810011; VIMPAT; VIMPAT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; MIZ
1236100810021; VIMPAT; VIMPAT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; MIZ
1236100810038; VIMPAT; VIMPAT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 28; MIZ
1236100810046; VIMPAT; VIMPAT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 56; MIZ
1236100810070; VIMPAT; VIMPAT; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 14; MIZ
1236100810089; VIMPAT; VIMPAT; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 28; MIZ
1236100810097; VIMPAT; VIMPAT; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 56; MIZ
1236100810100; VIMPAT; VIMPAT; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 14; MIZ
1236100810119; VIMPAT; VIMPAT; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 28; MIZ
1236100810127; VIMPAT; VIMPAT; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 56; MIZ
1236100810062; VIMPAT; VIMPAT; NOT FOUND; 10 MG /ML SOL INFUS CT FA VD INC X 20ML; MIZ
