1236100260021; TABINE; TABINE; NOT FOUND; 20 MG/ML SOL INJ CT 10 AMP X 5 ML; MIZ
1236100260011; TABINE; TABINE; NOT FOUND; 20MG/ML SOL INJ CT 1 AMP X 5ML; MIZ
1236100260038; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 1 AMP X 10 ML; MIZ
1236100260062; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP X 10 ML; MIZ
1236100260097; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 100 AMP X 10 ML; MIZ
1236100260046; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 2 AMP X 10 ML; MIZ
1236100260070; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 20 AMP X 10 ML; MIZ
1236100260054; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP X 10 ML; MIZ
1236100260089; TABINE; TABINE; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP X 10 ML; MIZ
1236100260100; TABINE; TABINE; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 1 ML (REST HOSP); MIZ
1236100260127; TABINE; TABINE; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 10 ML (REST HOSP); MIZ
1236100260119; TABINE; TABINE; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP); MIZ
1236100160017; TAMOOEX; TAMOOEX; NOT FOUND; 10 MG COM REV CT 3 BL X 10; MIZ
1236100160025; TAMOOEX; TAMOOEX; NOT FOUND; 20 MG COM REV CT 3 BL X 10; MIZ
1236100690016; TOPORAN; TOPORAN; NOT FOUND; 4 MG PO LIOF INJ IV CT FA VD INC; MIZ
