1236100600025; CITOPLATINA; CITOPLATINA; NOT FOUND; 10 MG/ ML SOL INJ CX 1 FA VD AMB X 15 ML ; MIZ
1236100600033; CITOPLATINA; CITOPLATINA; NOT FOUND; 10 MG/ ML SOL INJ CX 1 FA VD AMB X 45 ML; MIZ
1236100600017; CITOPLATINA; CITOPLATINA; NOT FOUND; 10 MG/ ML SOL INJ CX 1 FA VD AMB X 5 ML; MIZ
1236100170071; CEFORAN; CEFORAN; NOT FOUND; 1000 MG PO LIOF INJ CT FA; MIZ
1236100170012; CEFORAN; CEFORAN; NOT FOUND; 500 MG PO LIOF INJ CT FA; MIZ
1236100320049; CYCRAM; CYCRAM; NOT FOUND; 1000 MG PO LIOF INJ CT 10 FA; MIZ
1236100320030; CYCRAM; CYCRAM; NOT FOUND; 1000 MG PO LIOF INJ CT FA; MIZ
1236100320022; CYCRAM; CYCRAM; NOT FOUND; 200 MG PO LIOF INJ CT 10 FA; MIZ
1236100320014; CYCRAM; CYCRAM; NOT FOUND; 50 MG COMP REV CT FR PLAS OPC X 50; MIZ
1236100060047; CHORIOMON; CHORIOMON; NOT FOUND; 2000 UI PO LIOF INJ CX 3 FA + 3 AMP X 2ML; MIZ
1236100060128; CHORIOMON; CHORIOMON; NOT FOUND; 2000 UI PO LIOF INJ CX FA VD INC + AMP DIL VID INC X 2 ML; MIZ
1236100060055; CHORIOMON; CHORIOMON; NOT FOUND; 5000 UI PO LIOF INJ CX 3 FA + 3 AMP X 2ML; MIZ
1236100060144; CHORIOMON; CHORIOMON; NOT FOUND; 5000 UI PO LIOF INJ CX FA VD INC + AMP DIL VD INC X 2 ML; MIZ
1236100780015; CHORIOMON-M; CHORIOMON M; NOT FOUND; 5000 UI PO LIOF INJ IM/SC CX FA VD INC + DIL AMP VD INC X 1 ML; MIZ
1236100780023; CHORIOMON-M; CHORIOMON M; NOT FOUND; 5000 UI PO LIOF INJ IM/SC CX FA VD INC + DIL SER PREENC VD INC X 1 ML + AGU REC + AGU APL; MIZ
1236100780031; CHORIOMON-M; CHORIOMON M; NOT FOUND; 5000 UI PO LIOF INJ IM/SC CX FA VD INC; MIZ
1236100730018; CUPRIMINE; CUPRIMINE; NOT FOUND; 250 MG CAP GEL DURA CT FR PLAS OPC X100; MIZ
