503200104159410; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ BOLSA PLASTICA X 100 ML; BAX
503212090022203; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ CX 12 BOLSA PLASTICA X 100 ML ; BAX
503200101151419; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ CT FA X 50 ML + EQUIPO; BAX
503200103152412; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ BOLSA PLASTICA X 50 ML; BAX
503204201159414; ALBUMINA HUMANA BAXTER AG; ALBUMINA HUMANA BAXTER AG; NOT FOUND; 20% SOL INJ CT 1 FA VD INC X 50 ML; BAX
503212090022103; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ CX 24 BOLSA PLASTICA X 50 ML ; BAX
503200102156414; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 25 PCC SOL INJ CT FA X 50 ML + EQUIPO; BAX
503204302151419; AT III BAXTER; AT III BAXTER; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 DIL FA X 20 ML + CONJ REC E INFUS; BAX
503204301153418; AT III BAXTER; AT III BAXTER; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 DIL FA X 10 ML + CONJ REC E INFUS ; BAX
503206502156410; ADVATE; ADVATE; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS ; BAX
503206503152419; ADVATE; ADVATE; NOT FOUND; 1500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS; BAX
503206501151415; ADVATE; ADVATE; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS ; BAX
503206504159417; ADVATE; ADVATE; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS ; BAX
503206002153412; ÁGUA ESTÉRIL BAXTER; AGUA ESTERIL BAXTER; NOT FOUND; SOL IRRIG UROLOG CX BOLS PLAS INC X 1000 ML; BAX
503206003151413; ÁGUA ESTÉRIL BAXTER; AGUA ESTERIL BAXTER; NOT FOUND; SOL IRRIG UROLOG CX BOLS PLAS INC X 2000 ML; BAX
503206001157414; ÁGUA ESTÉRIL BAXTER; AGUA ESTERIL BAXTER; NOT FOUND; SOL IRRIG UROLOG CX BOLS PLAS INC X 3000 ML; BAX
