503204504151411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204505158418, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204506154416, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503204501152415, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204502159413, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204503155411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503205701171411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 10 ML + SIST APLIC, BAX
503205703174418, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 2 ML + SIST APLIC, BAX
503205702178411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 4 ML + SIST APLIC, BAX
503203801152412, TRAVAD, TRAVAD, NOT FOUND, 16G/100ML + 6G/100ML UMA BOLSA PLASTICA X 133 ML, BAX
503204504151411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204505158418, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204506154416, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503204501152415, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204502159413, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204503155411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503205701171411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 10 ML + SIST APLIC, BAX
503205703174418, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 2 ML + SIST APLIC, BAX
503205702178411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 4 ML + SIST APLIC, BAX
503203801152412, TRAVAD, TRAVAD, NOT FOUND, 16G/100ML + 6G/100ML UMA BOLSA PLASTICA X 133 ML, BAX
503204504151411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204505158418, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204506154416, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503204501152415, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204502159413, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204503155411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503205701171411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 10 ML + SIST APLIC, BAX
503205703174418, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 2 ML + SIST APLIC, BAX
503205702178411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 4 ML + SIST APLIC, BAX
503203801152412, TRAVAD, TRAVAD, NOT FOUND, 16G/100ML + 6G/100ML UMA BOLSA PLASTICA X 133 ML, BAX
503204504151411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204505158418, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204506154416, TISSUCOL, TISSUCOL, NOT FOUND, KIT 2 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503204501152415, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC, BAX
503204502159413, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC, BAX
503204503155411, TISSUCOL, TISSUCOL, NOT FOUND, KIT 3 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC, BAX
503205701171411, TISSUCOL TISSEL DUO, TISSUCOL TISSEL DUO, NOT FOUND, SOL TOP CT SER PREENC X 10 ML + SIST APLIC, BAX
