503204703154419; IMMUNINE; IMMUNINE; NOT FOUND; 1200 UI PO LIOF INJ CT 1 FA VD INC + DIL FA X 10 ML + CONJ REC E INFUS ; BAX
503204701151412; IMMUNINE; IMMUNINE; NOT FOUND; 200 UI PO LIOF INJ CT 1 FA VD INC + DIL FA X 5 ML + CONJ REC E INFUS ; BAX
503204702158410; IMMUNINE; IMMUNINE; NOT FOUND; 600 UI PO LIOF INJ CT 1 FA VD INC + DIL FA X 5 ML + CONJ REC E INFUS ; BAX
503204603151418; IMMUNNATE S/D; IMMUNNATE S D; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 10 ML + CONJ REC E INFUS; BAX
503204601157419; IMMUNNATE S/D; IMMUNNATE S D; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS; BAX
503204602153417; IMMUNNATE S/D; IMMUNNATE S D; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS; BAX
503202302152419; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ FR VD INC X 100 ML ; BAX
503202305151413; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 100 ML ; BAX
503202303159417; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ FR VD INC X 1000 ML ; BAX
503202306158411; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 1000 ML ; BAX
503202307154411; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 250 ML ; BAX
503202304155415; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ FR VD INC X 500 ML ; BAX
503202308150418; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 500 ML ; BAX
503202201178412; ISOTHANE; ISOTHANE; NOT FOUND; LIQ INAL CT 06 FR VD AMB X 100 ML (REST HOSP); BAX
