503203502155411, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECH X 500 ML, BAX
503203501159314, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECHADO X 500 ML, BAX
503206401155419, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 1000 ML, BAX
503206402151417, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 500 ML, BAX
503203701158311, SORBITOL, SORBITOL, SORBITOL, 3% SOL IRRIG UROL UMA BOLSA PLASTICA INC. X 3000 ML, BAX
503203502155411, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECH X 500 ML, BAX
503203501159314, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECHADO X 500 ML, BAX
503206401155419, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 1000 ML, BAX
503206402151417, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 500 ML, BAX
503203701158311, SORBITOL, SORBITOL, SORBITOL, 3% SOL IRRIG UROL UMA BOLSA PLASTICA INC. X 3000 ML, BAX
503203502155411, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECH X 500 ML, BAX
503203501159314, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECHADO X 500 ML, BAX
503206401155419, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 1000 ML, BAX
503206402151417, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 500 ML, BAX
503203701158311, SORBITOL, SORBITOL, SORBITOL, 3% SOL IRRIG UROL UMA BOLSA PLASTICA INC. X 3000 ML, BAX
503203502155411, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECH X 500 ML, BAX
503203501159314, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECHADO X 500 ML, BAX
503206401155419, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 1000 ML, BAX
503206402151417, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 500 ML, BAX
503203701158311, SORBITOL, SORBITOL, SORBITOL, 3% SOL IRRIG UROL UMA BOLSA PLASTICA INC. X 3000 ML, BAX
503203502155411, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECH X 500 ML, BAX
503203501159314, SOLUCAO DE RINGER BAXTER, SOLUCAO RINGER BAXTER, NOT FOUND, SOL INJ CX BOLS PLAS INC PVC SIST FECHADO X 500 ML, BAX
503206401155419, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 1000 ML, BAX
503206402151417, SOLUÇÃO GLICOFISIOLÓGICA, SOLUCAO GLICOFISIOLOGICA, NOT FOUND, 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 500 ML, BAX
503203701158311, SORBITOL, SORBITOL, SORBITOL, 3% SOL IRRIG UROL UMA BOLSA PLASTICA INC. X 3000 ML, BAX
