504502301133415, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 120 M, B_I
504502302131416, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 50 ML, B_I
504502303111419, INFECTRIN, INFECTRIN, NOT FOUND, 80 MG + 400 MG COM CT 2 BL X 10, B_I
504502401111413, INFECTRIN F, INFECTRIN F, NOT FOUND, 800 MG COM CT 2 BL AL PLAST X 5, B_I
504502301133415, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 120 M, B_I
504502302131416, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 50 ML, B_I
504502303111419, INFECTRIN, INFECTRIN, NOT FOUND, 80 MG + 400 MG COM CT 2 BL X 10, B_I
504502401111413, INFECTRIN F, INFECTRIN F, NOT FOUND, 800 MG COM CT 2 BL AL PLAST X 5, B_I
504502301133415, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 120 M, B_I
504502302131416, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 50 ML, B_I
504502303111419, INFECTRIN, INFECTRIN, NOT FOUND, 80 MG + 400 MG COM CT 2 BL X 10, B_I
504502401111413, INFECTRIN F, INFECTRIN F, NOT FOUND, 800 MG COM CT 2 BL AL PLAST X 5, B_I
504502301133415, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 120 M, B_I
504502302131416, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 50 ML, B_I
504502303111419, INFECTRIN, INFECTRIN, NOT FOUND, 80 MG + 400 MG COM CT 2 BL X 10, B_I
504502401111413, INFECTRIN F, INFECTRIN F, NOT FOUND, 800 MG COM CT 2 BL AL PLAST X 5, B_I
504502301133415, INFECTRIN, INFECTRIN, NOT FOUND, 8 MG/ML + 40 MG/ML SUS OR PED CT FR VD AMB X 120 M, B_I
