504503604113311, PHARMATON, PHARMATON, NOT FOUND, CAP GEL MOLE CT FR VD AMB X 100, B_I
504503603117313, PHARMATON, PHARMATON, NOT FOUND, CAP GEL MOLE CT FR AMB X 30, B_I
504503605111411, PHARMATON, PHARMATON, NOT FOUND, CAP GEL MOLE CT FR VD AMB X 60, B_I
504505501133316, PHARMATON KIDDI, PHARMATON KIDDI, NOT FOUND, XPE CT FR VD AMB X 200 ML + CP MED , B_I
504503401158310, PERLUTAN, PERLUTAN, NOT FOUND, 150 MG + 10 MG SOL INJ CT AMP VD AMB X 1 ML, B_I
504514070019507, PARADOR DUOCAF, PARADOR DUOCAF, NOT FOUND, 250 MG +200 MG + 50 MG COM CT BL AL PLAS OPC X 20, B_I
504505105114319, PRADAXA, PRADAXA, NOT FOUND, 110 MG CAP DURA CT BL AL/AL X 60, B_I
504505104118310, PRADAXA, PRADAXA, NOT FOUND, 110 MG CAP DURA CT BL AL/AL X 10 , B_I
504505103111312, PRADAXA, PRADAXA, NOT FOUND, 110 MG CAP DURA CT BL AL/AL X 30, B_I
504505106110317, PRADAXA, PRADAXA, NOT FOUND, 150 MG CAP DURA CT BL AL/AL X 10, B_I
504505107117315, PRADAXA, PRADAXA, NOT FOUND, 150 MG CAP DURA CT BL AL/AL X 30, B_I
504505108113313, PRADAXA, PRADAXA, NOT FOUND, 150 MG CAP DURA CT BL AL/AL X 60, B_I
504505101119316, PRADAXA, PRADAXA, NOT FOUND, 75 MG CAP DURA CT BL AL/AL X 10 , B_I
504505102115314, PRADAXA, PRADAXA, NOT FOUND, 75 MG CAP DURA CT BL AL/AL X 30, B_I
504503502116311, PERSANTIN, PERSANTIN, NOT FOUND, 100 MG DRG CT 5 BL AL PLAS INC X 10, B_I
504503501152314, PERSANTIN, PERSANTIN, NOT FOUND, 10 MG/2ML SOL INJ CT 5 AMP VD INC X 2 ML, B_I
504503503112311, PERSANTIN, PERSANTIN, NOT FOUND, 75 MG DRG CT 10 BL AL PLAS INC X 20, B_I
504503504119318, PERSANTIN, PERSANTIN, NOT FOUND, 75 MG DRG CT 2  BL AL PLAS INC X 20, B_I
