504512120018704; BISOLTUSSIN; BISOLTUSSIN; NOT FOUND; 2.0 MG/ML XPE CT FR VD AMB X 120ML; B_I
504500601131314; BEROTEC; BEROTEC; NOT FOUND; 0.25 MG/ML XPE CT FR VD AMB X 120 ML; B_I
504500602136311; BEROTEC; BEROTEC; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 120 ML; B_I
504500603175319; BEROTEC; BEROTEC; NOT FOUND; 2 MG/ML SOL AER DOSIF CT TB AL X 10 ML + BOCAL + AEROCAMERA-0.1 MG/DOSE; B_I
504500606174313; BEROTEC; BEROTEC; NOT FOUND; 2 MG/ML SOL AER DOSIF CT TB ACO INOX X 10 ML + BOCAL ; B_I
504500607170311; BEROTEC; BEROTEC; NOT FOUND; 2 MG/ML SOL AER DOSIF CT TB ACO INOX X 10 ML + BOCAL + AEROCAMERA; B_I
504500605135314; BEROTEC; BEROTEC; NOT FOUND; 5 MG/ML SOL OR CT  FR VD AMB  X 20 ML; B_I
504500801112313; BUSCOPAN; BUSCOPAN; NOT FOUND; 10 MG DRG CT 1 BL AL PLAS INC X 20; B_I
504500802135317; BUSCOPAN; BUSCOPAN; NOT FOUND; 10 MG/ML SOL ORAL CT FR VD AMB X 20 ML; B_I
504500804154416; BUSCOPAN; BUSCOPAN; NOT FOUND; 20 MG SOL INJ CT 5 AMP VD INC X 1 ML; B_I
504500902113315; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20; B_I
504500903152314; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 20 MG + 2.5 G SOL INJ CT 3 AMP VD AMB X 5 ML; B_I
504500904132317; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 333.4MG/ML + 6.7 MG/ML SOL OR CT FR VD CGT X 20 ML ; B_I
504514030019403; BUSCOPAN COMPOSTO; BUSCOPAN COMPOSTO; NOT FOUND; 10 MG + 250 MG  COM REV CT BL AL PLAS INC X 120 (EMB MULT); B_I
504501003112314; BUSCODUO; BUSCODUO; NOT FOUND; 10 MG + 500 MG COM REV CT BL AL PLAS INC X 120 (EMB MULT); B_I
504501001111310; BUSCODUO; BUSCODUO; NOT FOUND; 10 MG + 500 MG COM REV CT BL AL PLAS INC X 20; B_I
504500701134323; BISOLVON; BISOLVON; NOT FOUND; 0.8 MG/ML XPE EXP INF CT FR VD AMB X 120 ML; B_I
504500702130321; BISOLVON; BISOLVON; NOT FOUND; 1.6 MG/ML XPE EXPEC ADU CT FR VD AMB X 120 ML; B_I
504500703137321; BISOLVON; BISOLVON; NOT FOUND; 2 MG/ML SOL CT FR VD AMB X 50 ML; B_I
504512100018603; BUTAZONA CÁLCICA; BUTAZONA CALCICA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 10; B_I
504501101114311; BUTAZONA CÁLCICA; BUTAZONA CALCICA; NOT FOUND; 200 MG COM REV CT 10 BL AL PLAS INC X 10; B_I
504504901111311; BUSCOFEM; BUSCOFEM; NOT FOUND; 400MG CAP GEL MOLE CT BL AL PLAS INC X 10; B_I
504504902118311; BUSCOFEM; BUSCOFEM; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS X 50 (EMB MULT); B_I
