504504204135219; SPIRIVA; SPIRIVA; NOT FOUND; 2.5 MCG DOSE SOL INAL CT FR PLAS 4ML (60 DOSES) + RESPIMAT; B_I
504514100019602; STRIVERDI RESPIMAT; STRIVERDI RESPIMAT; NOT FOUND; 2.5 MCG PUFF SOL INAL CT FR PLAS 4ML + RESPIMAT; B_I
504505002110310; SECOTEX; SECOTEX; NOT FOUND; 0.4 MG COM REV CT BL AL/AL X 20; B_I
504505001114312; SECOTEX; SECOTEX; NOT FOUND; 0.4 MG COM REV CT BL AL/AL X 30; B_I
504503801113217; SIFROL; SIFROL; NOT FOUND; 0.125 MG COM CT BL AL/AL X 30; B_I
504503802111218; SIFROL; SIFROL; NOT FOUND; 0.250 MG COM CT BL AL/AL X 30; B_I
504503804112319; SIFROL; SIFROL; NOT FOUND; 0.375 MG COM LIB PROL CT BL AL/AL X 10; B_I
504503805119317; SIFROL; SIFROL; NOT FOUND; 0.375 MG COM LIB PROL CT BL AL/AL X 30; B_I
504503806115315; SIFROL; SIFROL; NOT FOUND; 0.75 MG COM LIB PROL CT BL AL/AL X 10; B_I
504503807111313; SIFROL; SIFROL; NOT FOUND; 0.75 MG COM LIB PROL CT BL AL/AL X 30; B_I
504503803116213; SIFROL; SIFROL; NOT FOUND; 1 MG COM CT BL AL/AL X 30; B_I
504503808118311; SIFROL; SIFROL; NOT FOUND; 1.5 MG COM LIB PROL CT BL AL/AL X 10; B_I
504503809114311; SIFROL; SIFROL; NOT FOUND; 1.5 MG COM LIB PROL CT BL AL/AL X 30; B_I
504503810112317; SIFROL; SIFROL; NOT FOUND; 3 MG COM LIB PROL CT BL AL/AL X 10; B_I
504503811119315; SIFROL; SIFROL; NOT FOUND; 3 MG COM LIB PROL CT BL AL/AL X 30; B_I
504503812115313; SIFROL; SIFROL; NOT FOUND; 4.5 MG COM LIB PROL CT BL AL/AL X 10; B_I
504503813111311; SIFROL; SIFROL; NOT FOUND; 4.5 MG COM LIB PROL CT BL AL/AL X 30; B_I
