504512030018403, ACTILYSE, ACTILYSE, NOT FOUND, 10 MG PO LIOF INJ CT FA VD INC + FA DIL 10 ML, B_I
504512030018303, ACTILYSE, ACTILYSE, NOT FOUND, 20 MG PO LIOF INJ  CT  FA VD INC + FA DIL 20 ML, B_I
504500101153319, ACTILYSE, ACTILYSE, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC + FA DIL 50 ML + CANUL TRANS, B_I
504500501178319, ATROVENT, ATROVENT, NOT FOUND, 0.25 MG/ML SOL INAL CT FR VD AMB X 20 ML, B_I
504500503170315, ATROVENT, ATROVENT, NOT FOUND, 0.4 MG/ML AER DOSIF CT TB AL X 15 ML + BOCAL + AEROCAMERA, B_I
504500504177313, ATROVENT, ATROVENT, NOT FOUND, 20 MCG/DOSE AER DOSIF CT FR ACO INOX X 10 ML + BOCAL, B_I
504500505173311, ATROVENT, ATROVENT, NOT FOUND, 20 MCG/DOSE AER DOSIF CT FR ACO INOX X 10 ML + BOCAL + AEROCAMERA, B_I
504500401114319, ATENSINA, ATENSINA, NOT FOUND, 0.10 MG COM CT BL AL PL INC X 30, B_I
504500402110317, ATENSINA, ATENSINA, NOT FOUND, 0.15 MG COM CT BL AL PL INC X 30, B_I
504500403117315, ATENSINA, ATENSINA, NOT FOUND, 0.20 MG COM CT BL AL PL INC X 30, B_I
504500304135420, ANADOR, ANADOR, NOT FOUND, 500 MG SOL ORAL CT FR PLAS OPC GOT X 10 ML, B_I
504500301111423, ANADOR, ANADOR, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 120, B_I
504500305131429, ANADOR, ANADOR, NOT FOUND, 500 MG SOL ORAL CT FR PLAS OPC GOT X 20 ML, B_I
504500302116429, ANADOR, ANADOR, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 24, B_I
504512050018503, ANADOR, ANADOR, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT), B_I
504500303112427, ANADOR, ANADOR, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 512, B_I
