530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
530700601159418, GENTAMISAN, GENTAMISAN, NOT FOUND, 10 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700602155416, GENTAMISAN, GENTAMISAN, NOT FOUND, 40 MG SOL INJ CX 100 AMP VD AMB X 1 ML, SIS
530700603151414, GENTAMISAN, GENTAMISAN, NOT FOUND, 80 MG SOL INJ CX 100 AMP VD AMB X 2 ML, SIS
