530700906111419; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 10 MG COM CX ENV AL POLIET X 1.000 (EMB HOSP); SIS
530700904119412; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 10 MG COM CX ENV AL POLIET X 200 ( EMB HOSP); SIS
530712060005303; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 10 MG COM CX ENV AL POLIET X 30; SIS
530700908114415; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 10 MG COM CX ENV AL POLIET X 500 (EMB HOSP); SIS
530700902159417; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML; SIS
530700907118417; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 5 MG COM CX ENV AL POLIET X 1.000 (EMB HOSP); SIS
530700905115410; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 5 MG COM CX ENV AL POLIET X 200 ( EMB HOSP); SIS
530712060005203; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 5 MG COM CX ENV AL POLIET X 30; SIS
530700909110413; SANTIAZEPAM; SANTIAZEPAM; NOT FOUND; 5 MG COM CX ENV AL POLIET X 500 (EMB HOSP); SIS
530701202150415; SANTIDOR; SANTIDOR; NOT FOUND; 500 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP); SIS
530701204153411; SANTIDOR; SANTIDOR; NOT FOUND; 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); SIS
530701203157413; SANTIDOR; SANTIDOR; NOT FOUND; 500 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML (EMB HOSP); SIS
530701801151419; SANTROPINA; SANTROPINA; NOT FOUND; 1/4 MG SOL INJ CX PAP 100 AMP VD AMB X 1 ML; SIS
530701802158417; SANTROPINA; SANTROPINA; NOT FOUND; 1/2 MG SOL INJ CX PAP 100 AMP VD AMB X 2 ML; SIS
