520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
520600803135411, DORISAN, DORISAN, NOT FOUND, 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR FR PLAS OPC GOT X 15 ML, SIN
520600801116411, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 100 DRAGEAS - 25X4, SIN
520600802112418, DORISAN, DORISAN, NOT FOUND, CAIXA C/ 20 DRAGEAS, SIN
