525011001167413; RIFOCORT; RIFOCORT; NOT FOUND; 1.5 MG/G + 5 MG/G POM DERM CT BG AL X 10 G; MD7
525014100105103; REFREN; REFREN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 90 (EMB HOSP); MD7
525011101171412; RINISONE; RINISONE; NOT FOUND; 0.03 MG/ML + 5 MG/ML +1.25 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML; MD7
525074002111411; RAFEX; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 10; MD7
525074003116415; RAFEX; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 20; MD7
525074004112413; RAFEX; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 5; MD7
525074005119411; RAFEX; RAFEX; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 10; MD7
525074006115411; RAFEX; RAFEX; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 20; MD7
525074007111418; RAFEX; RAFEX; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 5; MD7
525074008118416; RAFEX; RAFEX; NOT FOUND; 30 MG COM REV CT STR AL/AL X 10; MD7
525074009114414; RAFEX; RAFEX; NOT FOUND; 30 MG COM REV CT STR AL/AL X 20; MD7
525074001113419; RAFEX; RAFEX; NOT FOUND; 30 MG COM REV CT STR AL/AL X 5; MD7
525074010112411; RAFEX; RAFEX; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 10; MD7
525074011119411; RAFEX; RAFEX; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 20; MD7
525074012115418; RAFEX; RAFEX; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 5; MD7
525013100103604; RAFEX D; RAFEX D; NOT FOUND; 60 MG + 120 MG COM REV CT BL AL PLAS TRANS X 10; MD7
525072602111112; RAMIPRIL; RAMIPRIL; RAMIPRIL; 2.5 MG COM CT BL AL/AL X 15; MD7
525072603116118; RAMIPRIL; RAMIPRIL; RAMIPRIL; 2.5 MG COM CT BL AL/AL X 30; MD7
525072604112116; RAMIPRIL; RAMIPRIL; RAMIPRIL; 2.5 MG COM CT BL AL/AL X 60 (EMB HOSP); MD7
525072605119114; RAMIPRIL; RAMIPRIL; RAMIPRIL; 5.0 MG COM CT BL AL/AL X 15; MD7
525072606115112; RAMIPRIL; RAMIPRIL; RAMIPRIL; 5.0 MG COM CT BL AL/AL X 30; MD7
525072601113111; RAMIPRIL; RAMIPRIL; RAMIPRIL; 5.0 MG COM CT BL AL/AL X 60 (EMB HOSP); MD7
525013020102106; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; MD7
525013020102206; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; MD7
