1562500010010; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
1562500010037; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
1562500010029; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 6 FA VD INC; CPG
1562500010053; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
1562500010061; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 6 FA VD INC; CPG
1562500010071; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
1562500010045; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
1562500010088; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
1562500010101; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 06 FA VD INC; CPG
1562500010118; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
1562500010126; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
1562500010134; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
1562500010142; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 6 FA VD INC; CPG
1562500010096; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
1562500010150; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
1562500010169; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
