525400201116111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT FR PLAS OPC X 25; M_S
525400202112111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT FR PLAS OPC X 30; M_S
525400203119118; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT FR PLAS OPC X 70; M_S
525400204166111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; M_S
525420903116116; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT CART BL PLAS INC X 2; M_S
525420902111110; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT CART BL PLAS INC X 3; M_S
525420901113111; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT CART BL PLAS INC X 5 ; M_S
525400304111317; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 15; M_S
525400301110417; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 30 ; M_S
525400305116312; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 4; M_S
525400306112310; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 8; M_S
525400302151419; ALGINAC; ALGINAC; NOT FOUND; 5000 MCG + 100 MG + 100 MG + 75 MG SOL INJ CX C/ CAMA  3 AMP VD AMB X 1 ML + 3 AMP VD AMB X 2 ML; M_S
525413120044605; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 100 MG + 100 MG + 100 MG COM REV LIB RETARD CT BL AL AL X 10; M_S
525413120044505; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 100 MG + 100 MG + 100 MG COM REV LIB RETARD CT BL AL AL X 4 ; M_S
525400501111417; ARTREN; ARTREN; NOT FOUND; 100 MG CAP GEL MICROG EST CART BL AL PLAS INC X 10; M_S
525400601149416; ASALIT; ASALIT; NOT FOUND; 250 MG SUP RET EST STR X 10; M_S
525400602171415; ASALIT; ASALIT; NOT FOUND; 3 G ENEMA EST CART ENV + DIL X 100 ML; M_S
525400603117414; ASALIT; ASALIT; NOT FOUND; 400 MG COM REV EST CART 2 BL AL PLAS INC X 10; M_S
