502800203133315, ADEROGIL GOTAS, ADEROGIL GOTAS, NOT FOUND, 5.500 UI/ML + 2.200 UI/ML SOL OR CT FR VD AMB X 10 ML + CGT, S_A
502813050064803, ADACEL, ADACEL, NOT FOUND, SUS INJ CT FA VD INC X 0.5 ML , S_A
502813050064903, ADACEL, ADACEL, NOT FOUND, SUS INJ CT 5 FA VD INC X 0.5 ML , S_A
502813050065003, ADACEL, ADACEL, NOT FOUND, SUS INJ CT 10 FA VD INC X 0.5 ML , S_A
502822001118316, ATLANSIL, ATLANSIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, S_A
502812110064403, ATLANSIL, ATLANSIL, NOT FOUND, 150 MG SOL INJ CX 50 AMP VD AMB X 3 ML, S_A
502822002157315, ATLANSIL, ATLANSIL, NOT FOUND, 150 MG SOL INJ CX 50 AMP VD INC X 3 ML, S_A
502822003153313, ATLANSIL, ATLANSIL, NOT FOUND, 150 MG SOL INJ CX 6 AMP VD AMB X 3 ML, S_A
502822004117310, ATLANSIL, ATLANSIL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, S_A
502800701117311, AMPLICTIL, AMPLICTIL, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 20, S_A
502800702113311, AMPLICTIL, AMPLICTIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 20, S_A
502800703136313, AMPLICTIL, AMPLICTIL, NOT FOUND, 40.00 MG/ML SOL OR CT FR VD CGT X 20 ML, S_A
502800704159317, AMPLICTIL, AMPLICTIL, NOT FOUND, 5 MG/ML SOL INJ CX 5  AMP VD AMB X 5 ML, S_A
502800401113310, ALLEGRA, ALLEGRA, NOT FOUND, 120 MG COM REV CT BL AL/AL X 10, S_A
502812010059503, ALLEGRA, ALLEGRA, NOT FOUND, 120 MG COM REV CT BL AL PLAS INC X 10, S_A
502800405119313, ALLEGRA, ALLEGRA, NOT FOUND, 120 MG COM REV CT BL AL PLAS INC X 5, S_A
502800402111311, ALLEGRA, ALLEGRA, NOT FOUND, 180 MG COM REV CT BL AL/AL X 10, S_A
502812010059603, ALLEGRA, ALLEGRA, NOT FOUND, 180 MG COM REV CT BL AL PLAS INC X 10, S_A
502800406115311, ALLEGRA, ALLEGRA, NOT FOUND, 180 MG COM REV CT BL AL PLAS INC X 5, S_A
502800503110310, ALLEGRA INFANTIL, ALLEGRA INFANTIL, NOT FOUND, 30 MG COM REV CT STR AL/AL X 20 , S_A
502816502135316, ALLEGRA PEDIATRICO, ALLEGRA PEDIATRICO, NOT FOUND, 6 MG/ML SUS OR CT FR PLAS AMB X 150 ML + SER DOSAD SABOR FRAMBOESA, S_A
502816501139318, ALLEGRA PEDIATRICO, ALLEGRA PEDIATRICO, NOT FOUND, 6 MG/ML SUS OR CT FR PLAS AMB X 60 ML + SER DOSAD SABOR FRAMBOESA, S_A
