502804201161314, ESPERSON, ESPERSON, NOT FOUND, 2.5 MG/G POM DERM CT BG AL X 20 G, S_A
502804301164315, ESPERSON N, ESPERSON N, NOT FOUND, 2.5 MG + 7.145 MG POM DERM CT BG AL X 20 G, S_A
502824212116417, EXPOLID, EXPOLID, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, S_A
502824202110416, EXPOLID, EXPOLID, NOT FOUND, 10 MG COM REV CT BL AL/AL X 15, S_A
502824203117414, EXPOLID, EXPOLID, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, S_A
502824204113412, EXPOLID, EXPOLID, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60 (EMB HOSP), S_A
502824205111413, EXPOLID, EXPOLID, NOT FOUND, 10 MG COM REV CT BL AL/AL X 7, S_A
502824201114418, EXPOLID, EXPOLID, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 10, S_A
502824206116419, EXPOLID, EXPOLID, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 15, S_A
502824207112417, EXPOLID, EXPOLID, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 30, S_A
502824208119415, EXPOLID, EXPOLID, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 60 (EMB HOSP), S_A
502824209115413, EXPOLID, EXPOLID, NOT FOUND, 5 MG COM REV CT BL AL/AL X 10, S_A
502824210113410, EXPOLID, EXPOLID, NOT FOUND, 5 MG COM REV CT BL AL/AL X 15, S_A
502824211111411, EXPOLID, EXPOLID, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, S_A
502814601152311, ELOXATIN, ELOXATIN, NOT FOUND, 5.0 MG/ML SOL INJ CT FA VD INC X 10 ML, S_A
502814602159318, ELOXATIN, ELOXATIN, NOT FOUND, 5.0 MG/ML SOL INJ CT FA VD INC X 20 ML , S_A
502814603155316, ELOXATIN, ELOXATIN, NOT FOUND, 5.0 MG/ML SOL INJ CT FA VD INC X 40 ML , S_A
502804101114314, EQUILID, EQUILID, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, S_A
502804102110312, EQUILID, EQUILID, NOT FOUND, 50 MG CAP GEL DURA  CT BL AL PLAS INC X 20, S_A
