502807501164313; LOPROX; LOPROX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; S_A
502807602173318; LOPROX NL; LOPROX NL; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS TRANSP GOT X 15 ML; S_A
502807601177311; LOPROX NL; LOPROX NL; NOT FOUND; 80 MG/G ESMALT UNHA EST CART FR VD INC C/ PINCEL X 3 G + 30 LENCOS ALC ISOP + 14 LIXAS; S_A
502819002117313; LADOGAL; LADOGAL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 50; S_A
502819001110315; LADOGAL; LADOGAL; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 30; S_A
502807201111311; LASILACTONA; LASILACTONA; NOT FOUND; 100 MG + 20 MG CAP GEL DURA CT STR AL X 30; S_A
502814070066203; LASILACTONA; LASILACTONA; NOT FOUND; 100 MG + 20 MG CAP GEL DURA CT BL AL/PLAS INC X 30; S_A
502807301157313; LASIX; LASIX; NOT FOUND; 10 MG/ML SOL INJ CT BL 5 AMP VD AMB X 2 ML; S_A
502807302110310; LASIX; LASIX; NOT FOUND; 40 MG COM CT BL AL PLAS VDE X 20 ; S_A
502807103150215; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML; S_A
502807101158219; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML ; S_A
502807102154217; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML; S_A
502807104157213; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SITEMA APLIC PLAS; S_A
502807105153211; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SISTEMAS APLIC PLAS; S_A
502815301152312; LANTUS SOLOSTAR; LANTUS SOLOSTAR; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML  + 1 SISTEMA APLIC PLAS; S_A
502813120066002; LYXUMIA; LYXUMIA; NOT FOUND; 0.05 MG/ML + 0.1 MG/ML SOL INJ CT 2 CAR VD INC X 3 ML + 2 CAN APLIC; S_A
502813120065602; LYXUMIA; LYXUMIA; NOT FOUND; 0.05 MG/ML SOL INJ CT 1 CAR VD INC X 3 ML + 1 CAN APLIC; S_A
502813120065702; LYXUMIA; LYXUMIA; NOT FOUND; 0.1 MG/ML SOL INJ CT 1 CAR VD INC X 3 ML + 1 CAN APLIC; S_A
502813120065802; LYXUMIA; LYXUMIA; NOT FOUND; 0.1 MG/ML SOL INJ CT 2 CAR VD INC X 3 ML + 2 CAN APLIC; S_A
502813120065902; LYXUMIA; LYXUMIA; NOT FOUND; 0.1 MG/ML SOL INJ CT 6 CAR VD INC X 3 ML + 6 CAN APLIC; S_A
