502817302113317, PLAVIX, PLAVIX, NOT FOUND, 300 MG COM REV CT BL AL/AL X 100, S_A
502817303111318, PLAVIX, PLAVIX, NOT FOUND, 300 MG COM REV CT BL AL/AL X 30, S_A
502817301117319, PLAVIX, PLAVIX, NOT FOUND, 300 MG COM REV CT BL AL/AL X 4 , S_A
502817304116313, PLAVIX, PLAVIX, NOT FOUND, 75 MG COM REV CT BL AL/AL X 14, S_A
502817305112311, PLAVIX, PLAVIX, NOT FOUND, 75 MG COM REV CT BL AL/AL X 28, S_A
502817306119311, PLAVIX, PLAVIX, NOT FOUND, 75 MG COM REV CT BL AL/AL X 98 (EMB HOSP), S_A
502817203115311, PLAVIX PROTECT, PLAVIX PROTECT, NOT FOUND, 75MG COM REV CT BL AL/AL X 7 + 100MG COM REV CT BL AL/AL X 7, S_A
502817202119313, PLAVIX PROTECT, PLAVIX PROTECT, NOT FOUND, 75MG COM REV CT BL AL/AL X 14 + 100MG COM REV CT BL AL/AL X 14 , S_A
502817201112315, PLAVIX PROTECT, PLAVIX PROTECT, NOT FOUND, 75MG COM REV CT BL AL/AL X 28 + 100MG COM REV CT BL AL/AL X 28, S_A
502810307136318, PROFENID, PROFENID, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 150 ML + SER DOSAD, S_A
502810308132316, PROFENID, PROFENID, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD, S_A
502810301146311, PROFENID, PROFENID, NOT FOUND, 100 MG SUP RETAL CT STRIP AL/AL X 10, S_A
502810401116317, PROFENID ENTÉRICO, PROFENID ENTERICO, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 20, S_A
502810403119313, PROFENID ENTÉRICO, PROFENID ENTERICO, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 3, S_A
502810402155316, PROFENID IV, PROFENID IV, NOT FOUND, 100 MG PO LIOF IV CX 50 FA VD INC, S_A
502810302134317, PROFENID, PROFENID, NOT FOUND, 20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, S_A
502810306131312, PROFENID, PROFENID, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, S_A
502813080065503, PROFENID, PROFENID, NOT FOUND, 20 MG/ML SOL OR CT BG PLAS OPC GOT X 20 ML , S_A
502810501110310, PROFENID RETARD, PROFENID RETARD, NOT FOUND, 200 MG COM DES LENTA CT BL AL PLAS INC X 10, S_A
502810303165313, PROFENID, PROFENID, NOT FOUND, 25 MG GEL CT BG AL X 30 G, S_A
502810304110318, PROFENID, PROFENID, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 24, S_A
502810305151311, PROFENID, PROFENID, NOT FOUND, 50 MG/ML SOL INJ IM CX 6 AMP VD AMB X 2 ML, S_A
502812100064305, PROFENID PROTECT, PROFENID PROTECT, NOT FOUND, 200 MG + 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC BRANCO X 10 , S_A
502809801130313, PLASIL, PLASIL, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 100 ML, S_A
502809802110316, PLASIL, PLASIL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, S_A
502809803133311, PLASIL, PLASIL, NOT FOUND, 4 MG/ML SOL OR CT FR VD AMB CGT X 10 ML, S_A
502809804156313, PLASIL, PLASIL, NOT FOUND, 5 MG/ML SOL INJ CT 100 AMP VD INC X 2 ML, S_A
