502816701138110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED , S_A
502814401110117, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 14, S_A
502814402117115, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 28, S_A
502818303113416, BESEROL, BESEROL, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100 (EMB FRAC), S_A
502818302117418, BESEROL, BESEROL, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 12, S_A
502818301110411, BESEROL, BESEROL, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 04, S_A
502818701119317, BENOFLEX P, BENOFLEX P, NOT FOUND, 35 MG + 450 MG + 50 MG COM CT BL AL PLAS LAR X 12, S_A
502818703111313, BENOFLEX P, BENOFLEX P, NOT FOUND, 35 MG + 450 MG + 50 MG COM CT BL AL PLAS LAR X 120 (EMB MULT), S_A
502818702115315, BENOFLEX P, BENOFLEX P, NOT FOUND, 35MG + 450MG +50MG COM CT BL AL PLAS LAR X 200(EMB MULT), S_A
502801601116311, BI-PROFENID, BI PROFENID, NOT FOUND, 150 MG COM AP CT BL AL PLAS INC X 10, S_A
502801602112311, BI-PROFENID, BI PROFENID, NOT FOUND, 150 MG COM AP CT BL AL PLAS INC X 4, S_A
502814090067903, BUCLINA, BUCLINA, NOT FOUND, 25 MG COM CT BL PLAS PAP INC X 30, S_A
502812030063103, BUCLINA, BUCLINA, NOT FOUND, 25 MG COM CT BL PLAS PAP INC X 10, S_A
502822101112311, BUCLINA, BUCLINA, NOT FOUND, 25 MG COM CT BL PLAS PAP INC X 20, S_A
