502821302114311, DUOPLAVIX, DUOPLAVIX, NOT FOUND, 75 MG + 100 MG COM REV CT BL AL/AL X 14, S_A
502821303110311, DUOPLAVIX, DUOPLAVIX, NOT FOUND, 75 MG + 100 MG COM REV CT BL AL/AL X 28, S_A
502821301118313, DUOPLAVIX, DUOPLAVIX, NOT FOUND, 75 MG + 100 MG COM REV CT BL AL/AL X 7, S_A
502822701136317, DIGESAN, DIGESAN, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + MED, S_A
502822702116311, DIGESAN, DIGESAN, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 20, S_A
502812030062503, DIGESAN, DIGESAN, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 6, S_A
502822703139313, DIGESAN, DIGESAN, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, S_A
502822704151317, DIGESAN, DIGESAN, NOT FOUND, 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML, S_A
502822705158315, DIGESAN, DIGESAN, NOT FOUND, 5 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML, S_A
502804001136316, DORFLEX, DORFLEX, NOT FOUND, 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR VD AMB X 20 ML, S_A
502804002116319, DORFLEX, DORFLEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS  AMB X 240, S_A
502804003112317, DORFLEX, DORFLEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS  AMB X 30 , S_A
502814090067703, DORFLEX, DORFLEX, NOT FOUND, 300 MG + 35 MG + 50 MG COM CT BL AL PLAS  AMB X 300 (EMB MULT), S_A
502803901151313, DOLANTINA, DOLANTINA, NOT FOUND, 50 MG/ML SOL INJ CT 5 BL X 5 AMP VD INC X 2 ML, S_A
502803301111310, DACTIL OB, DACTIL OB, NOT FOUND, 100 MG + 50 MG + 50 MG DRG CT 2 BL AL PLAS LARANJA X 15, S_A
502822501110411, DIENPAX, DIENPAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, S_A
502822502117411, DIENPAX, DIENPAX, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, S_A
502803701150313, DIMERCAPROL, DIMERCAPROL, DIMERCAPROL, 100 MG/ML SOL INJ CX 5 AMP VD INC X 1 ML, S_A
502814701130113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED, S_A
502814702110116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT), S_A
502814703133111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, S_A
502814704131110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, S_A
502803801112316, DIMETROSE, DIMETROSE, NOT FOUND, 2.5 MG CAP GEL CT BL AL PLAS OPC X 8, S_A
502803401114311, DAONIL, DAONIL, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, S_A
502822601131410, DÔRICO, DORICO, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC X 10 ML, S_A
502822602138419, DÔRICO, DORICO, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML, S_A
502822604114411, DÔRICO, DORICO, NOT FOUND, 750 MG COM CT BL AL PLAS INC X 10, S_A
502822605110418, DÔRICO, DORICO, NOT FOUND, 750 MG COM CT BL AL PLAS INC X 20, S_A
502822606117416, DÔRICO, DORICO, NOT FOUND, 750 MG COM CT BL AL PLAS INC X 200 (EMB MULT), S_A
502822603118411, DÔRICO, DORICO, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 100 ( EMB MULT), S_A
502803501161311, DERMATOP, DERMATOP, NOT FOUND, 2.5 MG/G CREM DERM CT BG AL X 20 G, S_A
502803502166317, DERMATOP, DERMATOP, NOT FOUND, 2.5 MG/G POM DERM CT BG AL X 20 G, S_A
502814070066803, DOGMATIL, DOGMATIL, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB CGT PEBD X 30 ML , S_A
502818902130415, DOGMATIL, DOGMATIL, NOT FOUND, 20 MG/ML SOL OR CT FR VD CGT X 30 ML, S_A
502818901118411, DOGMATIL, DOGMATIL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, S_A
502818903110418, DOGMATIL, DOGMATIL, NOT FOUND, 50 MG CAP GEL DURA CT BL AL/PLAS INC X 20, S_A
