502812030062704, CORASTORVA (ATORVASTATINA CÁLCICA), CORASTORVA ATORVASTATINA CALCICA, NOT FOUND, 10MG COM REV CT BL AL/AL X 10 , S_A
502812030062804, CORASTORVA (ATORVASTATINA CÁLCICA), CORASTORVA ATORVASTATINA CALCICA, NOT FOUND, 10MG COM REV CT BL AL/AL X 30, S_A
502812030062904, CORASTORVA (ATORVASTATINA CÁLCICA), CORASTORVA ATORVASTATINA CALCICA, NOT FOUND, 20MG COM REV CT BL AL/AL X 30, S_A
502812030063004, CORASTORVA (ATORVASTATINA CÁLCICA), CORASTORVA ATORVASTATINA CALCICA, NOT FOUND, 40MG COM REV CT BL AL/AL X 30, S_A
502812030062604, CORASTORVA (ATORVASTATINA CÁLCICA), CORASTORVA ATORVASTATINA CALCICA, NOT FOUND, 80MG COM REV CT BL AL/AL X 30, S_A
502802201138316, CEPACAINA, CEPACAINA, NOT FOUND, 0.5 MG/ML + 4 MG/ML SOL OR CT FR VD INC X 100 ML, S_A
502802203114317, CEPACAINA, CEPACAINA, NOT FOUND, 1.466 MG + 10 MG PAST CT STR X 12, S_A
502802202177315, CEPACAINA, CEPACAINA, NOT FOUND, 0.5 MG/ML + 4 MG/ML SOL SPR CT FR VD INC NEB X 50ML, S_A
502824410112418, COREDIOL, COREDIOL, NOT FOUND, 12.5 MG COM CT BL AL/AL X 15, S_A
502824402111416, COREDIOL, COREDIOL, NOT FOUND, 12.5 MG COM CT BL AL/AL X 30, S_A
502824403116411, COREDIOL, COREDIOL, NOT FOUND, 25 MG COM CT BL AL/AL X 15, S_A
502824404112411, COREDIOL, COREDIOL, NOT FOUND, 25 MG COM CT BL AL/AL X 30, S_A
502824405119418, COREDIOL, COREDIOL, NOT FOUND, 25 MG COM CT BL AL/AL X 60, S_A
502824401113415, COREDIOL, COREDIOL, NOT FOUND, 3.125 MG COM CT BL AL/AL X 15, S_A
502824406115416, COREDIOL, COREDIOL, NOT FOUND, 3.125 MG COM CT BL AL/AL X 30, S_A
502824407111414, COREDIOL, COREDIOL, NOT FOUND, 3.125 MG COM CT BL AL/AL X 60, S_A
502824408118412, COREDIOL, COREDIOL, NOT FOUND, 6.25 MG COM CT BL AL/AL X 15, S_A
502824409114410, COREDIOL, COREDIOL, NOT FOUND, 6.25 MG COM CT BL AL/AL X 30, S_A
502802602159314, CLAFORAN, CLAFORAN, NOT FOUND, 250 MG/ML PO INJ CT FA VD INC + DIL X 4 ML, S_A
502816101114113, CIPROFIBRATO, CIPROFIBRATO, CIPROFIBRATO, 100 MG COM CT BL AL PLAS INC X 30, S_A
502802301116314, CEPACOL, CEPACOL, NOT FOUND, 1.34 MG PAST CT POUCH AL X 16 CEREJA - HORTELA, S_A
502802303119310, CEPACOL, CEPACOL, NOT FOUND, 1.34 MG PAST CT POUCH AL X 16 MENTA, S_A
502802305111317, CEPACOL, CEPACOL, NOT FOUND, 1.34 MG PAST CT POUCH AL X 16 TRADICIONAL, S_A
502815601113118, CLORIDRATO DE AMIODARONA, CLORIDRATO AMIODARONA, CLORIDRATO AMIODARONA, 100 MG COM CT BL AL  PLAS INC X 20 , S_A
502815602111119, CLORIDRATO DE AMIODARONA, CLORIDRATO AMIODARONA, CLORIDRATO AMIODARONA, 200 MG COM CT BL AL  PLAS INC X 20, S_A
502817402118116, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, S_A
502817401111118, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 60, S_A
502816302111111, CLORIDRATO DE METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, 10 MG COM CT BL AL PLAS INC X 20, S_A
502802801178319, COLÍRIO MOURA BRASIL, COLIRIO MOURA BRASIL, NOT FOUND, 0.15 MG + 0.3 MG SOL OFT CT FR PLAS TRANS CGT X 20 ML, S_A
502803201166318, CREMEFENERGAN, CREMEFENERGAN, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30G, S_A
502815201115113, CLORIDRATO DE PROMETAZINA, CLORIDRATO PROMETAZINA, CLORIDRATO PROMETAZINA, 25 MG COM REV CT BL AL PLAS INC X 20, S_A
502801901111315, CALCORT, CALCORT, NOT FOUND, 30 MG COM CT 1 BL AL PLAS INC X 10, S_A
502801902116310, CALCORT, CALCORT, NOT FOUND, 6 MG COM CT BL AL PLAS INC X 20, S_A
502802701157311, CLEXANE, CLEXANE, NOT FOUND, 100 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 1.0 ML, S_A
502802708151414, CLEXANE, CLEXANE, NOT FOUND, 100 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC GRAD X 1.0 ML + SIST SEGURANCA, S_A
502802702153318, CLEXANE, CLEXANE, NOT FOUND, 20 MG SOL INJ CT 10 SER PRE-ENCHIDAS VD INC X 0.2 ML, S_A
502802703151319, CLEXANE, CLEXANE, NOT FOUND, 20 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC X 0.2 ML, S_A
502802709158412, CLEXANE, CLEXANE, NOT FOUND, 20 MG SOL INJ CT 10 SER PRE - ENCHIDAS VD INC X 0.2 ML + SIST SEGURANCA, S_A
502802710156411, CLEXANE, CLEXANE, NOT FOUND, 20 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC X 0.2 ML + SIST SEGURANCA, S_A
502802704156314, CLEXANE, CLEXANE, NOT FOUND, 40 MG SOL INJ CT 10 SER PRE-ENCHIDAS VD INC X 0.4 ML, S_A
502802705152312, CLEXANE, CLEXANE, NOT FOUND, 40 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC X 0.4 ML, S_A
502802711152418, CLEXANE, CLEXANE, NOT FOUND, 40 MG SOL INJ CT 10 SER PRE - ENCHIDAS VD INC X 0.4 ML + SIST SEGURANCA, S_A
502802712159416, CLEXANE, CLEXANE, NOT FOUND, 40 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC X 0.4 ML + SIST SEGURANCA, S_A
502802706159310, CLEXANE, CLEXANE, NOT FOUND, 60 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 0.6 ML, S_A
502802713155414, CLEXANE, CLEXANE, NOT FOUND, 60 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC GRAD X 0.6 ML + SIST SEGURANCA, S_A
502802707155319, CLEXANE, CLEXANE, NOT FOUND, 80 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 0.8 ML, S_A
502802714151412, CLEXANE, CLEXANE, NOT FOUND, 80 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 0.8 ML + SIST SEGURANCA, S_A
502801702133319, CALCIGENOL, CALCIGENOL, NOT FOUND, 10 MG/ML + 0.100 MG/ML SUS OR FR PLAS TRANSLUCIDO X 300 ML, S_A
502814040066108, CLORANA, CLORANA, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, S_A
530501201118418, CLORANA, CLORANA, NOT FOUND, 25 MG COM CT BL PLAS PAPEL X 30, S_A
