502813030064504, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21, S_A
502813030064604, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 42, S_A
502813030064704, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63, S_A
502824101152415, VACINA ADSORVIDA DIFTERIA, TÉTANO, PERTUSSIS (ACELULAR), HAEMOPHILUS INFLUENZAE B (CONJUGADA) E POLIOMIELITE I, II E III (INATIVADA), VACINA ADSORVIDA DIFTERIA TETANO PERTUSSIS ACELULAR HAEMOPHILUS INFLUENZAE B CONJUGADA E POLIOMIELITE I II E III INATIVADA, NOT FOUND, SUS INJ [IM] CT FA VD INC X 0.5 ML, S_A
502817901157419, VACINA HAEMOPHILUS INFLUENZAE B (CONJUGADA), VACINA HAEMOPHILUS INFLUENZAE B CONJUGADA, VACINA HAEMOPHILUS INFLUENZAE B CONJUGADA, PO LIOF INJ CT FA VD INC + SER DIL X 0.5 ML , S_A
502823601151411, VACINA SARAMPO, CAXUMBA E RUBÉOLA (ATENUADA), VACINA SARAMPO CAXUMBA E RUBEOLA ATENUADA, NOT FOUND, PO LIOF INJ 1 DOSE CT FR VD INC + SER DIL X 0.5 ML, S_A
502823001154418, VACINA ADSORVIDA DIFTERIA, TÉTANO E PERTUSIS (ACELULAR), VACINA ADSORVIDA DIFTERIA TETANO E PERTUSIS ACELULAR, NOT FOUND, 1 DOSE IMU SUS INJ CT FR VD INC X 0.5 ML, S_A
502823501157416, VACINA CONTRA FEBRE AMARELA (VÍRUS ATENUADOS), VACINA CONTRA FEBRE AMARELA VIRUS ATENUADOS, NOT FOUND, PO LIOF INJ IM/SC X 1 DOSE CT 1 FA VD INC + DIL INJ 1 SER PRE-ENCH X 0.5 ML, S_A
502818001151412, VACINA FEBRE TIFÓIDE (POLISSACARÍDICA), VACINA FEBRE TIFOIDE POLISSACARIDICA, VACINA FEBRE TIFOIDE POLISSACARIDICA, SOL INJ CT SER PREENC VD INC C/ AGU ACOPLADA X 0.5 ML, S_A
502823202151416, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20 MCG/ML SUS INJ CT 20 FA VD INC X 0.5 ML, S_A
502823204152411, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20 MCG/ML SUS INJ CT FA VD INC X 0.5 ML, S_A
502823201153415, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20 MCG/ML SUS INJ CT FA VD INC X 1.0 ML, S_A
